toraj	torej
s	s
terdnim	trdnim
glaſam	glasom
djala	dejala
,	,
de	da
ſe	se
je	je
vſtraſhil	ustrašil
:	:
„	„
boleſlav	boleslav
,	,
poklékni	poklekni
,	,
de	da
te	te
ſhe	še
oblagoſlovim	blagoslovim
,	,
kakor	kakor
ſo	so
tudi	tudi
môja	moja
mati	mati
mene	mene
oblagoſlovili	blagoslovili
,	,
préden	preden
ſim	sem
ſe	se
od	od
njih	njih
lozhila	ločila
.	.
spargelne	šparglje
operi	operi
,	,
povęshi	poveži
v'	v
ſnopke	snopke
,	,
jih	jih
naravnoſt	naravnost
perręshi	prireži
sadaj	zadaj
na	na
rituvji	ritovju
,	,
inu	in
ſkuhaj	skuhaj
na	na
zhiſti	čisti
vodi	vodi
v'	v
mehko	mehko
.	.
desglih	dasiglih
tudi	tudi
uzheni	učeni
zhbelarji	čebelarji
to	to
reſnizo	resnico
terdijo	trdijo
,	,
vonder	vendar
ſhe	še
smiraj	zmeraj
na	na
deſnim	desni
in	in
levim	levi
ſtrani	strani
save	save
in	in
drave	drave
s	z
velikim	velikim
veſeljam	veseljem
zhbele	čebele
morijo	morijo
.	.
10.	10.
inu	in
kadar	kadar
je	je
on	on
mnóshizo	množico
k'	k
ſebi	sebi
poklizal	poklical
,	,
je	je
rękàl	rekel
k'	k
njim	njim
:	:
poſluhajte	poslušajte
,	,
inu	in
saſtopite	zastopite
.	.
pa	pa
takih	takih
semljah	zemljah
raſtejo	rastejo
vedno	vedno
ſlabe	slabe
ſorte	sorte
trave	trave
,	,
bizhja	bičja
lozhja	ločja
,	,
dolgo	dolgo
bizhje	bičje
,	,
mahovje	mahovje
in	in
vezh	več
druge	druge
ſhare	šare
.	.
ne	ne
delaj	delaj
vezh	več
greha	greha
,	,
de	da
ſe	se
ti	ti
ſhe	še
kaj	kaj
hujſhiga	hujšega
ne	ne
sgodí	zgodi
.	.
sakaj	zakaj
neki	neki
ne	ne
!	!
na	na
poti	poti
je	je
hajnez	hajnec
kunzu	kuncu
rékel	rekel
:	:
„	„
ali	ali
vidiſh	vidiš
sdaj	zdaj
,	,
de	da
je	je
reſnizhno	resnično
,	,
kar	kar
ſim	sem
ti	ti
rékel	rekel
:	:
pri	pri
dôbrim	dobrem
délu	delu
ſe	se
ni	ni
nizh	nič
bati	bati
,	,
zhe	če
ſe	se
ravno	ravno
v_zhaſih	včasih
nevarno	nevarno
sdi	zdi
.	.
viſsoku	visoko
vuzhéni	učeni
goſpodje	gospodje
!	!
pevzarjam	pelcarjam
ne	ne
vezh	več
gnoja	gnoja
perkasati	prikazati
,	,
mlade	mlade
na	nepotrebne
potrebne	nepotrebne
veize	vejice
poresati	porezati
,	,
zhe	če
trava	trava
okoli	okoli
mozhnu	močno
raſse	rase
,	,
ſpuzati	spucati
,	,
aku	ako
je	je
ſuſha	suša
,	,
pomalim	pomalem
en	eno
malu	malo
prezh	proč
s'	z
vodo	vodo
saliti	zaliti
.	.
po_tém	potem
je	je
proti	proti
nébu	nebu
poglédala	pogledala
ſvôje	svoje
déte	dete
s	s
ſlabima	slabima
rokama	rokama
dersháje	držaje
in	in
s	s
ſolsami	solzami
rekózh	rekoč
:	:
„	„
o	o
bog	bog
!	!
poſlavljenje	poslavljenje
.	.
na	na
enajſto	enajsto
nedelo	nedeljo
po	po
winkuſhtah	binkoštih
.	.
tedej	tedaj
ſo	so
ony	oni
perſtopili	pristopili
,	,
ſo	so
roke	roke
vergli	vrgli
na	na
jesuſa	jezusa
,	,
inu	in
ſo	so
ga	ga
popadli	popadli
.	.
taka	taka
semlja	zemlja
sa	za
ſad	sad
vezh	več
velja	velja
,	,
kakor	kakor
sgolj	zgolj
peſhénka	peščenka
.	.
”	”
“	“
nekdo	nekdo
vojakov	vojakov
mu	mu
s'	z
jéſiham	jesihom
napojeno	napojeno
gobo	gobo
na	na
terſtu	trstu
pomolí	pomoli
.	.
)	)
le	le
pojdi	pojdi
,	,
le	le
pojdi	pojdi
;	;
to	to
drugu	drugo
ti	ti
bom	bom
vshę	že
povędala	povedala
.	.
de	da
je	je
loshej	laže
pre_hudo	prehudo
,	,
kakor	kakor
ſlabo	slabo
semljo	zemljo
popraviti	popraviti
,	,
bo	bo
vſak	vsak
umen	umen
kmet	kmet
védil	vedel
.	.
”	”
pa	pa
oſtermèn	ostrmen
obſtoji	obstoji
in	in
jo	jo
gléda	gleda
.	.
takú	tako
bóde	bo
tudi	tudi
letimu	le-temu
hudobnimu	hudobnemu
ródu	rodu
.	.
natura	natura
teh	teh
zhbel	čebel
!	!
kaj	kaj
ti	ti
noter	noter
pade	pade
,	,
lubi	ljubi
moj	moj
matizhek	matiček
?	?
27.	27.
˛smert	smrt
janesa	janeza
kerſtnika	krstnika
.	.
rezhe	reče
ji	ji
,	,
de	da
dvomi	dvomi
nad	nad
sveſtobo	zvestobo
ſvoje	svoje
shene	žene
,	,
in	in
jo	jo
proſi	prosi
,	,
de	da
mu	mu
ja	ja
gotovo	gotovo
rasodene	razodene
,	,
zhe	če
ſe	se
je	je
reſ	res
vſe	vse
tako	tako
med	med
njo	njo
in	in
kuharjem	kuharjem
sgodilo	zgodilo
,	,
ker	ker
sna	zna
ſkrivne	skrivne
rezhi	reči
tako	tako
odkrivati	odkrivati
.	.
„	„
tako	tako
,	,
pravi	pravi
martinek	martinek
,	,
ona	ona
she	že
vé	ve
,	,
kjé	kje
je	je
doma	doma
.	.
v	v
ſrédi	sredi
síme	zime
ji	ji
je	je
tako	tako
rekózh	rekoč
lépa	lepa
pomlád	pomlad
zveſti	cvesti
sazhéla	začela
.	.
ponishna	ponižna
kakor	kakor
ſpomladanſka	spomladanska
vióliza	vijolica
,	,
kteri	kateri
deſiravno	dasiravno
pertlizhni	pritlični
,	,
ſe	se
vſak	vsak
perkloni	prikloni
,	,
de	da
bi	bi
jo	jo
povunjal	povonjal
;	;
nedolshna	nedolžna
kakor	kakor
ſlavzhik	slavček
,	,
deſiravno	dasiravno
v	v
germi	grmu
ſkrit	skrit
in	in
po	po
vſakdajne	vsakdanje
oblézhen	oblečen
,	,
nam	nam
vender	vendar
nar_ſladkejſhi	najslajše
péſmi	pesmi
prepeva	prepeva
,	,
ſhe	še
tudi	tudi
ti	ti
draga	draga
tertiza	trtica
!	!
namanove	namanove
gobe	gobe
ſe	se
te	te
prijemajo	prijemajo
,	,
in	in
oſtale	ostale
ti	ti
bodo	bodo
veſ	ves
zhaſ	čas
.	.
vſe	vse
dobro	dobro
męſhaj	mešaj
eno	eno
uro	uro
,	,
vlì	vlij
na	na
en	en
pleh	pleh
inu	in
obod	obod
katira	katera
ſta	sta
pomasana	pomazana
,	,
pozukraj	pocukraj
,	,
inu	in
pezi	peci
pozhaſi	počasi
v'	v
eni	eni
rasbęleni	razbeljeni
tortni	tortni
ponvi	ponvi
.	.
v	v
tém	tem
tamnim	temnem
,	,
vláshnim	vlažnem
osidju	ozidju
,	,
od	od
ktériga	katerega
neprenéhama	neprenehoma
vôda	voda
kapljà	kaplja
,	,
moraſh	moraš
vlage	vlage
in	in
mrasa	mraza
umréti	umreti
.	.
na_to	nato
ſe	se
jakop	jakob
ſniti	sniti
rèzhe	reče
vſim	vsem
ſvojim	svojim
ſinovam	sinovom
,	,
ino	in
móli	moli
nad	nad
vſimi	vsemi
.	.
bog	bog
mu	mu
je	je
oſtudno	ostudno
bolesen	bolezen
poſlal	poslal
.	.
mina	mina
ſe	se
sboji	zboji
shofko	žofko
sagledati	zagledati
,	,
ter	ter
ji	ji
ſhele	šele
sdaj	zdaj
v	v
’	’
miſel	misel
pade	pade
,	,
kaj	kaj
je	je
obljubila	obljubila
.	.
po_tém	potem
boſh	boš
tudi	tudi
previdil	previdel
,	,
kaj	kaj
ta	ta
léſ	les
v	v
môji	moji
roki	roki
poméni	pomeni
.	.
dvajſeto	dvajseto
poglavje	poglavje
.	.
pridejo	pridejo
v'	v
snani	znani
hlev	hlev
,	,
najdejo	najdejo
joshefa	jožefa
ino	in
marijo	marijo
,	,
ino	in
v'	v
jaſlih	jaslih
sagledajo	zagledajo
preljubesnjivo	preljubeznivo
dete	dete
.	.
matizh.	matič.
plazhujejo	plačujejo
ſe	se
v	v
piſarnizi	pisarnici
z.	c.
k.	k.
kmetijſke	kmetijske
drushbe	družbe
v	v
hiſhi	hiši
195	195
v	v
‚	‚
şalendrovi	salendrovi
ulizi	ulici
bliso	blizu
brega	brega
;	;
sa	za
ljubljano	ljubljano
in	in
sa	za
tiſte	tiste
,	,
ki	ki
jih	jih
ne	ne
dobivajo	dobivajo
po	po
póſhti	pošti
,	,
sa	za
zélo	celo
leto	leto
s	z
2	2
fl.	fl.
,	,
—	—
sa	za
pol	pol
leta	leta
s	z
1	1
fl.	fl.
;	;
prejemljejo	prejemajo
ſe	se
pa	pa
pri	pri
natiſkovavzu	natiskovalcu
na	na
bregu	bregu
nr.	nr.
190.	190.
po	po
poſhti	pošti
veljajo	veljajo
sa	za
zelo	celo
leto	leto
2	2
fl.	fl.
3o	30
kr.	kr.
,	,
—	—
sa	za
pol	pol
leta	leta
1	1
fl.	fl.
15	15
kr.	kr.
po	po
vſih	vseh
z.	c.
k	k
poſhtah	poštah
ſe	se
snajo	znajo
dobiti	dobiti
.	.
inu	in
ob	ob
ti	tej
sabboti	soboti
ſo	so
one	one
na	na
tihama	tihoma
ble	bile
po	po
sapovdi	zapovedi
.	.
“	“
odpró	odpro
ozhi	oči
,	,
pa	pa
ne	ne
vidijo	vidijo
drusiga	drugega
,	,
kakor	kakor
ſamiga	samega
jesuſa	jezusa
v'	v
njegovi	njegovi
navadni	navadni
poſtavi	postavi
.	.
18.	18.
on	on
pak	pa
je	je
rękàl	rekel
k'	k
njim	njim
:	:
pèrneſſite	prinesite
mi	mi
jih	jih
ſèmkaj	semkaj
.	.
7	7
)	)
g.	g.
janesa	janeza
dolenza	dolenca
is	iz
vipave	vipave
.	.
nar_lépſhi	najlepša
in	in
nar_ſtanovitniſhi	najstanovitnejša
dreveſa	drevesa
sraſtejo	zrastejo
is	iz
ſemena	semena
.	.
(	(
na	na
ſtran	stran
.	.
ino	in
potlej	potlej
je	je
umerl	umrl
,	,
poln	poln
vere	vere
v'	v
boshje	božje
obljube	obljube
,	,
mirno	mirno
ino	in
veſélo	veselo
.	.
proſim	prosim
vaſ	vas
,	,
ne	ne
umrite	umrite
!	!
naj	naj
bo	bo
tedej	tedaj
jih	jih
.	.
ravno	ravno
takó	tako
je	je
ptizhe	ptiče
,	,
kar	kar
jih	jih
je	je
ſpod	spod
ſtrehe	strehe
ſpalo	spalo
ta	ta
grosna	grozna
tozha	toča
pobila	pobila
,	,
kér	ker
ſo	so
jih	jih
povſod	povsod
mertve	mrtve
najdovali	najdevali
,	,
slaſti	zlasti
vrabze	vrabce
pod	pod
drevjem	drevjem
,	,
ktérih	katerih
ſo	so
veliko	veliko
od	od
naſhih	naših
ſoſedov	sosedov
do	do
80	80
ali	ali
zlo	celo
do	do
100	100
mertvih	mrtvih
naſhli	našli
;	;
takó	tako
ſo	so
bili	bili
tudi	tudi
sajzi	zajci
od	od
tozhe	toče
ubiti	ubiti
najdeni	najdeni
.	.
)	)
o	o
jej	jej
!	!
baron	baron
.	.
she	še
sem	sem
jeſt	jaz
pod	pod
serzam	srcem
moje	moje
matere	matere
s.	s.
anne	ane
leſhalla	ležala
,	,
tudi	tudi
vſe	vse
tiſte	tiste
,	,
ki	ki
ſo	so
bili	bili
s	z
gôlam	golom
,	,
je	je
ukasal	ukazal
do	do
praviga	pravega
zhaſa	časa
sapréti	zapreti
.	.
o	o
,	,
kako	kako
me	me
veſelí	veseli
!	!
s	z
mnógim	mnogim
,	,
nedolshnim	nedolžnim
veſêljem	veseljem
ſta	sta
poſlednja	poslednja
pomlád	pomlad
in	in
léto	leto
genovefi	genovefi
in	in
njénimu	njenemu
ſinu	sinu
priſhle	prišle
.	.
bogu	bogu
nar_perjetniſhi	najprijetnejši
dar	dar
;	;
satorej	zatorej
ga	ga
mora	mora
zhlovek	človek
le	le
po	po
pameti	pameti
in	in
s	s
hvaleshnoſtjo	hvaležnostjo
vshivati	uživati
.	.
“	“
ino	in
reſ	res
zelo	celo
nizh	nič
ni	ni
vsel	vzel
.	.
—	—
pak	pa
kaj	kaj
bom	bom
tajil	tajil
?	?
pred	pred
nekimi	nekimi
leti	leti
je	je
dal	dal
neki	neki
shlahten	žlahten
goſpod	gospod
,	,
ki	ki
je	je
v	v
ljubljani	ljubljani
,	,
ta	ta
ſvét	svet
,	,
na	na
tri	tri
ali	ali
ſhtiri	štiri
dni	dni
preſhizham	prašičem
med	med
kako	kako
pijazho	pijačo
dati	dati
ſolitarja	solitra
in	in
glauberjeve	glauberjeve
ſoli	soli
ſkupej	skupaj
,	,
en	en
del	del
ſolitarja	solitra
,	,
dva	dva
dela	dela
pak	pa
glauberjeve	glauberjeve
ſoli	soli
,	,
vſiga	vsega
eno	eno
shlizo	žlico
sa	za
preſhizha	prašiča
;	;
sa	za
praſeta	praseta
pak	pa
manj	manj
,	,
slaſti	zlasti
,	,
kadar	kadar
drugod	drugod
kaj	kaj
bolehajo	bolehajo
,	,
de	da
ſe	se
jih	jih
ta	ta
bolesen	bolezen
ne	ne
vloti	loti
.	.
v'	v
njegovih	njegovih
lęjtih	letih
marskatęri	marsikateri
ni	ni
pámeten	pameten
bil	bil
.	.
zherve	črve
pobirat	pobirati
bi	bi
vtegnilo	utegnilo
biti	biti
pre_kaſno	prekasno
.	.
daljſhi	daljše
in	in
debélſhi	debelejše
zévke	cevke
pa	pa
pri	pri
delu	delu
niſo	niso
pripravne	pripravne
!	!
jęrza	jerca
.	.
postava	postava
.	.
54.	54.
inu	in
kadar	kadar
je	je
priſhàl	prišel
v'	v
ſvoj	svoj
kraj	kraj
,	,
jih	jih
je	je
vuzhil	učil
v'	v
njih	njih
ſhuli	šoli
,	,
takú	tako
de	da
ſo	so
ſe	se
savsęli	zavzeli
,	,
inu	in
rekli	rekli
:	:
od	od
kód	kod
imá	ima
letá	le-ta
tako	tako
modróſt	modrost
,	,
inu	in
mozhy	moči
?	?
kakor	kakor
ſim	sem
rekel	rekel
goſpod	gospod
fajmoſhter	fajmošter
,	,
is	iz
delitve	delitve
gmajn	gmajn
nizh	nič
biti	biti
ne	ne
more	more
;	;
meni	meni
ſo	so
vſe	vse
novine	novine
is	iz
ſerza	srca
soperne	zoprne
.	.
inu	in
uſſi	vsi
,	,
katiri	kateri
ſo	so
tu	to
ſhliſhali	slišali
,	,
ſo	so
ſe	se
zhudili	čudili
:	:
tudi	tudi
zhes	čez
tu	to
,	,
kar	kar
ſo	so
nym	njim
paſtirji	pastirji
praveli	pravili
.	.
—	—
je	je
en	en
sam	sam
buh	bog
v'	v
naturi	naturi
,	,
inu	in
tri	tri
osebistva	osebistva
,	,
ali	ali
pershone	peršone
,	,
katire	katere
se	se
imenujejo	imenujejo
:	:
buh	bog
ozha	oča
,	,
buh	bog
syn	sin
,	,
buh	bog
s.	s.
duh	duh
.	.
ko	ko
je	je
pa	pa
ſhe	še
verh	vrh
téga	tega
—	—
kar	kar
ſi	si
je	je
na	na
poti	poti
od	od
grôfa	grofa
ſproſila	izprosila
,	,
vojákam	vojakom
in	in
ſlugam	slugam
sa	za
to	to
léto	leto
dvojno	dvojno
plazho	plačo
,	,
podloshnim	podložnikom
sa	za
êno	eno
léto	leto
odpuſtek	odpustek
davkov	davkov
in	in
domázhim	domačim
reveshem	revežem
obiln	obilen
dar	dar
shíta	žita
in	in
derv	drv
napovedala	napovedala
,	,
je	je
vſe	vse
ſerzhna	srčna
radoſt	radost
vnéla	vnela
,	,
ſolsé	solze
veſelja	veselja
ſo	so
tozhili	točili
,	,
vſi	vsi
ſo	so
ſebe	sebe
in	in
grôfa	grofa
ſrézhne	srečne
imenovali	imenovali
,	,
in	in
jésero	jezero
pobóshnih	pobožnih
prôſhenj	prošenj
sa	za
mladi	mladi
sakónſki	zakonski
par	par
je	je
v	v
nebo	nebo
gorelo	gorelo
.	.
30.	30.
puſtite	pustite
obàdvoje	oboje
raſti	rasti
do	do
shętve	žetve
,	,
inu	in
ob	ob
zhaſsu	času
tę	te
shętve	žetve
bóm	bom
jeſt	jaz
shenzam	žanjcem
rękàl	rekel
:	:
poberite	poberite
vkùp	vkup
pèrvizh	prvič
lulko	ljuljko
,	,
inu	in
jo	jo
sveshite	zvežite
v'	v
ſnopike	snopke
,	,
de	da
ſe	se
ſeshgé	sežge
,	,
pſhenizo	pšenico
pak	pa
vkup	vkup
ſpravite	spravite
v'	v
mojo	mojo
shitnizo	žitnico
.	.
(	(
poſtervi	postrvi
lahko	lahko
daljezh	daleč
shive	žive
poſhiljati	pošiljati
.	.
njéno	njeno
déte	dete
je	je
pri	pri
njénim	njenem
ſerzu	srcu
leshalo	ležalo
in	in
svéſta	zvesta
koſhuta	košuta
,	,
ktéra	katera
je	je
odſlèj	odslej
vezh	več
ni	ni
sapuſtila	zapustila
,	,
je	je
pri	pri
njénih	njenih
nôgah	nogah
leshâla	ležala
.	.
pa	pa
ker	ker
je	je
v	v
krajnſkih	kranjskih
,	,
˛shtajerſkih	štajerskih
in	in
koroſhkih	koroških
vodah	vodah
veliko	veliko
poſterv	postrvi
,	,
ki	ki
jih	jih
vezhkrat	večkrat
v	v
daljne	daljne
kraje	kraje
poſhiljajo	pošiljajo
,	,
bi	bi
bilo	bilo
dobro	dobro
to	to
poſkuſiti	poskusiti
.	.
zhaſtito	častito
je	je
bilo	bilo
˛salomonovo	salomonovo
kraljevanje	kraljevanje
,	,
pravizhne	pravične
njegove	njegove
ſodbe	sodbe
,	,
ino	in
ſrezhne	srečna
njegove	njegova
dela	dela
.	.
˛simeon	simeon
je	je
ſhe	še
govovil	govovil
,	,
kar	kar
ana	ana
pride	pride
.	.
telu	telo
je	je
uſſellej	vselej
duhu	duhu
ſuper	zoper
,	,
ter	ter
se	se
skus	skozi
svoje	svoje
pozhutke	počutke
njemu	njemu
uſſellej	vselej
sovraſhn	sovražen
spoſna	spozna
.	.
deni	deni
v'	v
piſker	pisker
enmalo	en_malo
vezh	več
jęſiha	jesiha
ku	kot
vode	vode
,	,
tudi	tudi
lorber	lorber
pęrja	perja
,	,
zhebula	čebula
,	,
puſti	pusti
savręti	zavreti
;	;
kader	kadar
to	to
vrè	vre
,	,
deni	deni
bíseno	vizino
v'	v
lonez	lonec
,	,
puſti	pusti
kuhati	kuhati
.	.
jeſt	jaz
imenujem	imenujem
tèdaj	tedaj
sadnizh	zadnjič
eno	eno
dobro	dobro
vęjſt	vest
toiſto	taisto
vęjſt	vest
eniga	enega
chriſtjana	kristjana
,	,
katęri	kateri
ſe	se
ne	ne
bojí	boji
ſam	sam
v'	v
ſę	se
jiti	iti
,	,
inu	in
ſi	si
per	pri
ſvojïm	svojem
goſpodarſtvi	gospodarstvu
,	,
per	pri
gori-srejenji	gorizrejenju
tih	teh
otrôk	otrok
,	,
per	pri
opravilih	opravilih
ſvoje	svoje
vęre	vere
nizh	nič
ne	ne
perpuſty	pripusti
,	,
kar	kar
bi	bi
pred	pred
bogam	bogom
,	,
inu	in
po	po
poſtavah	postavah
tiga	tega
evangęlia	evangelija
prav	prav
ne	ne
bilu	bilo
.	.
chriſte	kristus
ſhliſhi	sliši
naſs	nas
.	.
kakorkolj	kakorkoli
shaloſtni	žalostni
ſo	so
bili	bili
ozhe	oče
ſlabiga	slabega
sadershanja	zadržanja
ſvoje	svoje
hzhére	hčere
,	,
vender	vendar
ſo	so
ſe	se
morli	morali
katarinknimu	katarinkinemu
ſtraſhenju	strašenju
,	,
kteriga	katerega
je	je
vredna	vredna
bila	bila
,	,
ſmejati	smejati
.	.
od	od
pridniga	pridnega
umetniga	umetnega
obdelovanja	obdelovanja
semlje	zemlje
svira	izvira
bogaſtvo	bogastvo
in	in
krepkoſt	krepkost
vſih	vseh
narodov	narodov
;	;
kmetov	kmetov
ſtan	stan
je	je
podpóra	podpora
vſih	vseh
ſtanov	stanov
;	;
nar_vezhi	največjo
tesho	težo
deshelno	deželno
on	on
noſi	nosi
;	;
savoljo	zavoljo
tega	tega
je	je
pa	pa
tudi	tudi
zhaſti	časti
vreden	vreden
ſtan	stan
praviga	pravega
kmeta	kmeta
,	,
ki	ki
je	je
priden	priden
in	in
delaven	delaven
.	.
kdor	kdor
déla	dela
in	in
blaga	blaga
ne	ne
posna	pozna
,	,
in	in
ſe	se
le	le
