hoje	Hoje
segundo	segundo
o	o
q	que
o	o
Snor	Senhor
nela	nela
manefestou	manifestou
	,
despois	depois
de	de
ela	ela
se	se
ter	ter
Comfesado	confessado
e	e
sahido	saído
dos	dos
pes	pés
do	do
Comfesor	confessor
	,
vespora	véspera
do	do
Corpo	Corpo
de	de
Deos	Deus
	,
foi	foi
o	o
Snor	Senhor
tão	tão
benigno	benigno
mostrar	mostrar
a	a
huã	uma
alma	alma
boa	boa
do	do
Rebanho	rebanho
	,
manisfestandolhe	manifestando-lhe
	,
no	no
Rostro	rosto
dela	dela
	,
hua	uma
Confisão	confissão
nula	nula
e	e
o	o
q	que
ela	ela
tinha	tinha
no	no
Corasão	coração
	(
pecado	pecado
de	de
dezobediensia	desobediência
e	e
Rebeldia	rebeldia
da	da
vontade	vontade
	)
	,
ficando	ficando
ela	ela
toda	toda
negra	negra
	,
Como	como
hũ	um
tisão	tição
	,
q	que
Cauzou	causou
adimirasão	admiração
a	a
qm	quem
a	a
vio	viu

e	E
mtas	muitas
lenbranssas	lembranças
a	a
Minha	minha
compa	companhia
e	e
todas	todas
as	as
minhas	minhas
pareceiras	parceiras
de	de
caza	casa

Amen	Ámen
	,
Amen	ámen

eu	Eu
cá	cá
vou	vou
pedindo	pedindo
a	a
Ds	Deus
por	por
todos	todos
,	--
e	e
	,
em	em
particular	particular
	,
por	por
essa	essa
caza	casa
de	de
vmces	VMs

e	E
por	por
acazo	acaso
se	se
lá	lá
apparecer	aparecer
,	,
vmce	VM
me	me
faça	faça
favor	favor
de	de
me	me
mandar	mandar
dizer	dizer
,	,
havendo	havendo
ocazião	ocasião
,	,
pa	para
eu	eu
saber	saber
se	se
lá	lá
chegou	chegou
por	por
amor	amor
da	da
carta	carta
de	de
meu	meu
Pe	padre

eu	Eu
	,
meu	meu
filho	filho
	,
moro	morro
por	por
foder	foder
Comtigo	contigo
e	e
darte	dar-te
mtas	muitas
pinguinhas	pinguinhas
ao	ao
meu	meu
menino	menino
	,
pois	pois
so	só
tu	tu
hes	és
o	o
meu	meu
amor	amor

sou	Sou
De	de
Vmce	VM
amigo	amigo
mto	muito
obrigado	obrigado

Rio	Rio
de	de
Janro	Janeiro
	,
24	24
de	de
septo	setembro
de	de
1752	1752
a	anos

os	Os
dos	ditos
asima	acima
referidos	referidos
fizerão	fizeram
tais	tais
dezordens	desordens
q	que
chegarão	chegaram
a	a
benzer	benzer
	,
exorcizar	exorcizar
a	a
agua	água
benta	benta
q	que
esta	está
na	na
pia	pia
da	da
Igra	igreja
do	do
do	dito
Convto	convento

alias	Aliás
	,
paciencia	paciência

Achando-se	Achando-se
embaraçado	embaraçado
hoje	hoje
o	o
Sr	Senhor
Luiz	Luís
Pinto	Pinto
de	de
Sousa	Sousa
,	--
por	por
causa	causa
do	do
Conde	Conde
de	de
Oeyras	Oeiras
,	,
que	que
chegou	chegou
ultimamente	ultimamente
a	a
esta	esta
Corte	corte
,	--
e	e
carece	carece
de	de
quem	quem
o	o
dirija	dirija
em	em
Paiz	país
estranho	estranho
,	--
a	a
respeito	respeito
de	de
varias	várias
dispozições	disposições
economicas	económicas
;	,
me	me
recommenda	recomenda
o	o
haja	haja
de	de
escusar	escusar
para	para
com	com
V	Vossa
Exa	Excelência
,	,
a	a
quem	quem
terá	terá
a	a
honra	honra
de	de
escrever	escrever
o	o
Correio	correio
immediato	imediato
,	--
para	para
lhe	lhe
agradecer	agradecer
	,
ao	ao
mesmo	mesmo
tempo	tempo
,	,
o	o
preciozo	precioso
mimo	mimo
que	que
lhe	lhe
fez	fez
de	de
Menina	Menina
e	e
Moça	Moça

E	E
a	a
ambos	ambos
estes	estes
respeitos	respeitos
devo	devo
suppôr	supor
a	a
V	Vossa
Exa	Excelência
muito	muito
bem	bem
preparado	preparado

ele	Ele
permita	permita
darlhe	dar-lhe
a	a
sta	santa
comfirmidade	conformidade
e	e
pasiensia	paciência
pa	para
vmce	VM
alevantar	alevantar
os	os
olhos	olhos
da	da
fee	fé
e	e
alma	alma
	,
pa	para
o	o
ver	ver
obrando	obrando
pordigios	prodígios
a	a
noso	nosso
favor	favor

Sou	Sou
De	de
Vmce	VM
amigo	amigo
	,
O	o
Pe	padre
Manoel	Manuel
Joze	José
Ribeiro	Ribeiro
Pontes	Pontes
Barcellos	Barcelos
	,
15	15
de	de
Julho	julho
de	de
1797	1797
Snr	Senhor
R	Reverendo
Conigo	Cónego

assim	Assim
	,
Rogo	rogo
a	a
v	Vossa
mce	Merc&#xEA;
q	que
pesa	pe&#xE7;a
a	a
meu	meu
pai	pai
q	que
me	me
valha	valha
e	e
concorra	concorra
pa	para
minha	minha
liverde	liberdade

e	E
so	só
genoveva	Genoveva
ainda	ainda
se	se
anda	anda
curando	curando
de	de
hũ	um
postema	postema
de	de
hũ	um
pee	pé
	,
que	que
de	de
mto	muito
sofrida	sofrida
he	é
que	que
padesseo	padeceu
mto	muito
	,
por	por
não	não
falar	falar
e	e
sofer	sofrer
tudo	tudo
comsigo	consigo

e	E
	,
qdo	quando
o	o
não	não
faça	faça
prontisimamte	prontissimamente
	,
creminarei	criminarei
a	a
V	Vossa
Pte	Paternidade
por	por
consentidor	consentidor
das	das
indozlencias	indulgências
com	com
q	que
o	o
Pe	padre
Mel	Manuel
Thomas	Tomás
machado	Machado
domina	domina
a	a
Caza	casa
de	de
Mariana	Mariana
da	da
Silva	Silva
,	,
sem	sem
o	o
atemorizar	atemorizar
a	à
Vista	vista
de	de
Coatro	quatro
Clerigos	clérigos
q	que
	,
por	por
semelhantes	semelhantes
Couzas	coisas
	,
Sahirão	saíram
este	este
acto	ato
de	de
fé	fé

i	e
minha	minha
irmão	irmão
i	e
ela	ela
agora	agora
ista	está
nasitada	necessitada
Cem	sem
dinheiro	dinheiro

eu	Eu
não	não
fico	fico
grande	grande
couza	coisa
	,
mas	mas
de	de
toda	toda
a	a
sorte	sorte
sempre	sempre
serta	certa
pa	para
te	te
dar	dar
gosto	gosto

e	E
Com	com
isto	isto
não	não
emfado	enfado
mais	mais
a	a
vmces	VMs
	,
a	a
Qm	quem
Ds	Deus
Gde	guarde
ms	muitos
annos	anos
em	em
seu	seu
Santo	santo
serviso	serviço

milhor	Melhor
fora	fora
q	que
nela	nela
lhe	lhe
não	não
falase	falasse
	,
porq	porque
me	me
parese	parece
q	que
toda	toda
a	a
sua	sua
inimiza	inimizade
pa	para
com	com
Deos	Deus
nace	nasce
dahi	daí

e	E
isto	isto
Repito	repito
,	,
digo	digo
,	--
e	e
comfesso	confesso
todos	todos
os	os
instantes	instantes
	,
sem	sem
temor	temor
algũ	algum
desse	desse
Ds	Deus
	,
a	a
qm	quem
athe	até
gora	agora
Cegamte	cegamente
adorava	adorava
pa	para
meu	meu
mal	mal

e	E
	,
suposto	suposto
que	que
o	o
Sor	Senhor
pe	Padre
Dom	Dom
Matheus	Mateus
dezia	dizia
que	que
hera	era
falço	falso
,	,
todavia	todavia
	,
asim	assim
a	a
éllé	ele
,	,
como	como
a	a
nos	nós
	,
nos	nos
asustou	assustou
,	--
e	e
passamos	passámos
	,
athe	até
vir	vir
o	o
correio	correio
	,
com	com
Notavel	notável
cuidado	cuidado
e	e
disvello	desvelo

q	Que
	,
se	se
por	por
desdita	desdita
lhe	lhe
sentir	sentir
algum	algum
imcomodo	incómodo
,	--
ou	ou
emtender	entender
q	que
daqui	daqui
se	se
nos	nos
pode	pode
oreginar	originar
alguâ	alguma
tratada	tratada
,	--
q	que
ao	ao
depois	depois
nos	nos
seja	seja
maes	mais
costoza	custosa
,	,
em	em
semelhante	semelhante
cazo	caso
	,
não	não
me	me
fas	faz
conta	conta
q	que
nisto	nisto
se	se
falle	fale

se	Se
podese	pudesse
ser	ser
ou	ou
se	se
eu	eu
podese	pudesse
ser	ser
carta	carta
viva	viva
	,
eu	eu
o	o
fizera	fizera
só	só
pa	para
lhe	lhe
dar	dar
a	a
v mce	VM
Conta	conta
miuda	miúda
o	o
porq	porque
lhe	lhe
não	não
escrevo	escrevo
mais	mais
a	a
miudo	miúdo
	,
mas	mas
eu	eu
sempre	sempre
digo	digo
a	a
meu	meu
Pe	padre
q	que
qdo	quando
escrever	escrever
a	a
v mce	VM
q	que
me	me
ponha	ponha
a	a
seus	seus
pes	pés
e	e
me	me
desCulpe	desculpe

Ds	Deus
permita	permita
q	que
Chegue	chegue
Com	com
brividade	brevidade

não	Não
repares	repares
em	em
ser	ser
piquena	pequena
	,
que	que
não	não
tenho	tenho
outra	outra
boraxa	borracha

adeos	Adeus
	,
meu	meu
rico	rico
menino	menino

e	E
	,
se	se
acazo	acaso
ela	ela
se	se
não	não
Retira	retira
Com	com
sua	sua
	,
ainda	ainda
havia	havia
de	de
chegar	chegar
a	a
mais	mais

todas	Todas
estas	estas
malditas	malditas
noticias	notícias
me	me
cheguam	chegam

e	E
eu	eu
tãobem	também
quero	quero
que	que
me	me
emComende	encomende
a	a
Deos	Deus
	,
a	a
mim	mim
e	e
ao	ao
meu	meu
Padre	padre
francisco	Francisco
	,
pa	para
q	que
Deos	Deus
noso	Nosso
Snor	Senhor
nos	nos
dee	dê
esforso	esforço
para	para
trabalharmos	trabalharmos
na	na
vinha	vinha
de	de
Ds	Deus
,	--
e	e
Comvertermos	convertermos
almas	almas
para	para
lhe	lhe
darmos	darmos
gloria	glória
Asidental	acidental

O	O
Exmo	Excelentíssimo
Snr	Senhor
Dom	Dom
Diogo	Diogo
Angeiga	Angeja
me	me
animou	animou
a	a
tomar	tomar
esta	esta
ouzadia	ousadia
para	para
	,
pelo	pelo
meio	meio
de	de
V	Vossa
Exa	Excelência
	,
poder	poder
haver	haver
hum	um
protetor	protetor
para	para
poder	poder
proteger	proteger
a	a
minha	minha
cauza	causa
	,
a	a
qual	qual
he	é
,	--
que	que
	,
tendo	tendo
eu	eu
e	e
minha	minha
molher	mulher
dado	dado
a	a
Monsieur	Monsieur
Labord	Laborde
	,
Banqueiro	banqueiro
em	em
Paris	Paris
	,
o	o
meo	meu
dinheiro	dinheiro
com	com
o	o
Juro	juro
de	de
sinco	cinco
por	por
cento	cento
por	por
anno	ano
	,
e	e
tendo	tendo
o	o
dito	dito
Labord	Laborde
a	a
sette	sete
pa	para
outo	oito
annos	anos
o	o
dito	dito
dinheiro	dinheiro
	,
sem	sem
eu	eu
delle	dele
ter	ter
recebido	recebido
hum	um
só	só
real	real
,	,
sucede	sucede
a	a
Asemblea	Assembleia
ter	ter
mandado	mandado
glotinar	guilhotinar
o	o
do	dito
Labord	Laborde

as	As
tuas	tuas
maminhas	maminhas
	,
o	o
meu	meu
Coninho	coninho
he	é
teu	teu
e	e
ha	há
de	de
ser	ser

Ordinariamente	Ordinariamente
	,
as	as
revolusõens	revoluções
grandez	grandes
,	--
trazem	trazem
consigo	consigo
efeitos	efeitos
Espantozos	espantosos

O	O
Bispo	bispo
de	de
coimbra	Coimbra
tem	tem
obtido	obtido
enfinitas	infinitas
honrras	honras
de	de
El Rei	El-Rei
noso	nosso
Sr	Senhor

leva	Leva
o	o
portador	portador
240	240
pa	para
o	o
q	que
for	for
nessro	necessário
da	da
Carta	Carta
de	de
Cura	Cura

mai	Mas
qr	quer
a	a
fortuna	fortuna
pirmitir	permitir
o	o
tal	tal

vmce	VM
bem	bem
sabe	sabe
q	que
este	este
devino	divino
sor	senhor
coando	quando
Redemio	redimiu
o	o
mundo	mundo
a	a
primeira	primeira
ves	vez
foi	foi
em	em
huã	uma
crus	cruz
de	de
madeira	madeira
	,
q	que
asim	assim
havera	havera
de	de
ser	ser
porq	porque
os	os
nosos	nossos
corasoins	corações
estavão	estavam
feitos	feitos
huns	uns
troncos	troncos
brutos	brutos

a	A
mim	mim
	,
não	não
me	me
esquece	esquece
q	que
dizem	dizem
nesta	nesta
Caza	casa
q	que
estimarião	estimariam
mto	muito
não	não
fizese	fizesse
alguma	alguma
couza	coisa
com	com
q	que
eu	eu
fosse	fosse
a	a
inforcar	enforcar

Desta	Desta
--	--
tua	tua
molher	mulher
que	que
mto	muito
te	te
ama	ama
	,
Maria	Maria
Meu	Meu
Marido	Marido

adeos	Adeus
	,
meu	meu
marido	marido
	,
que	que
so	só
tu	tu
hes	és
o	o
berdaDeiro	verdadeiro
e	e
a	a
pesoa	pessoa
que	que
eu	eu
mais	mais
estimo	estimo

adeos	Adeus
meu	meu
menino	menino

mas	Mas
não	não
vi	vi
	,
com	com
medo	medo
de	de
q	que
me	me
não	não
quizesem	quisessem
asolver	absolver

vejo	Vejo
não	não
me	me
quereres	quereres
mandar	mandar
a	a
baeta	baeta
	,
eu	eu
o	o
senti	senti
mto	muito

Ds	Deus
guarde	guarde
a	a
Vmces	VMs
por	por
mtos	muitos
ans	anos

eu	Eu
	,
meu	meu
Rico	rico
filho	filho
do	do
meu	meu
coracão	coração
	,
ja	já
estou	estou
alguma	alguma
couza	coisa
milhor	melhor
	,
so	só
não	não
poso	posso
andar	andar
por	por
cauza	causa
das	das
feridas	feridas

estando	Estando
mto	muito
contente	contente
q	que
aquela	aquela
havia	havia
de	de
ser	ser
o	o
seu	seu
dezempenho	desempenho
,	--
e	e
querendo	querendo
contender	contender
com	com
ela	ela
	,
ele	ele
não	não
sei	sei
q	que
estava	estava
fazendo	fazendo
e	e
ela	ela
lhe	lhe
perguntou	perguntou
para	para
q	que
era	era
aquilo	aquilo
e	e
ele	ele
lhe	lhe
rrespondeu	respondeu
q	que
hera	era
para	para
a	a
não	não
molestar	molestar
	,
porq	porque
hera	era
criansa	criança
	,
e	e
ela	ela
lhe	lhe
Respondeu	respondeu
Com	com
todo	todo
o	o
discoco	descoco
q	que
o	o
estriveiro	estribeiro
de	de
seu	seu
Pai	pai
tinha	tinha
bolido	bulido
Com	com
ela	ela
	,
mas	mas
q	que
não	não
tinha	tinha
feito	feito
hiso	isso

e	E
o	o
mesmo	mesmo
faso	faço
a	a
vmces	VMs
todos	todos
e	e
as	às
Snras	senhoras
mosas	moças

hũa	Uma
ves	vez
	,
o	o
Snr	Senhor
me	me
dise	disse
	,
na	na
orasão	oração
	,
que	que
disese	dissesse
as	às
minhas	minhas
filhas	filhas
que	que
	,
no	no
seu	seu
Reino	Reino
	,
não	não
entravão	entravam
senão	senão
os	os
humildes	humildes
do	do
Corasão	coração
	,
porque	porque
os	os
soberbos	soberbos
e	e
Ativos	altivos
que	que
la	lá
havia	havia
	,
que	que
os	os
lansou	lançou
fora	fora
e	e
os	os
sepultou	sepultou
no	no
abismo	abismo

mostrou	Mostrou
o	o
não	não
tinha	tinha

Ds	Deus
Ge	Guarde
a	a
VMce	VM
ms	muitos
as	anos
	,
etc	etc

vmces	VMs
não	não
sejão	sejam
faseis	fáceis
em	em
dar	dar
ouvidos	ouvidos
e	e
Credito	créditos
os	aos
demonios	demónios
	,
porq	porque
os	os
q	que
levão	levam
la	lá
esas	essas
noticias	notícias
são	são
Correios	correios
dos	dos
dedmonios	demónios

estimei	Estimei
mto	muito
q	que
vmce	VM
Chegase	chegasse
Com	com
saude	saúde
e	e
bom	bom
suceso	sucesso
	,
ainda	ainda
q	que
Com	com
trabalho	trabalho
	,
e	e
aChase	achasse
tudo	tudo
bom	bom

Ama	Ama
	,
pois	pois
	,
a	a
Ds	Deus
deveras	deveras
,	,
ama-o	ama-o
com	com
todo	todo
o	o
coração	coração
,	--
e	e
com	com
toda	toda
a	a
alma	alma
,	--
e	e
dezeja	deseja
serlhe	ser-lhe
fiel	fiel
em	em
tudo	tudo
,	--
e	e
agradecida	agradecida

De	De
V	Vossa
Exa	Excelência
mo	muito
atto	atento
Vor	venerador
e	e
Cdo	criado
	,
Franco	Francesco
Saverio	Saverio
Todi	Todi
Lxa	Lxa
	,
2	2
de	de
Dbro	dezembro
1794	1794
PS	PS
estando	Estando
fexando	fechando
a	a
carta	carta
pa	para
V	Vossa
Exa	Excelência
	,
o	o
Snr	Senhor
Luis	Luís
Canto	Canto
me	me
remete	remete
a	a
incluza	inclusa
	,
entendendo	entendendo
q	que
eu	eu
partise	partisse

pois	Pois
q	que
so	só
por	por
ele	Ele
da	dá
alma	alma
--	--
	,
vida	vida
e	e
corasão	coração
pa	para
a	a
nosa	nossa
redensão	redenção
	,
pa	para
ver	ver
se	se
	,
asim	assim
	,
amamos	amamos
a	a
Ds	Deus
de	de
todo	todo
o	o
corasão	coração
	,
pa	para
	,
asim	assim
	,
ele	Ele
	,
por	por
noso	nosso
amor	amor
	,
darnos	dar-nos
a	a
eterna	eterna
salvasão	salvação

e	E
lhe	lhe
diga	diga
que	que
sua	sua
sobrinha	sobrinha
agora	agora
anda	anda
de	de
pe	pé
mas	mas
que	que
quazi	quase
sempre	sempre
anda	anda
doente	doente
	,
mas	mas
q	que
as	as
suas	suas
doenssas	doenças
não	não
são	são
de	de
cura	cura
de	de
Remedios	remédios
	,
suposto	suposto
algumas	algumas
vezes	vezes
se	se
lhe	lhe
apellico	aplicou

ahi	Aí
te	te
mando	mando
ese	esse
bonitinho	bonitinho
	,
que	que
sam	são
siumes	ciúmes
que	que
eu	eu
tenho	tenho
de	de
ti	ti
	,
e	e
tambem	também
leva	leva
pentinho	pentinho
do	do
teu	teu
conino	coninho

O	O
Tenente	tenente
João	João
Baptista	Batista
,	,
em	em
que	que
VM	VM
tem	tem
hũ	um
grande	grande
admirador	admirador
,	,
e	e
hum	um
amigo	amigo
,	,
que	que
conhece	conhece
e	e
sabe	sabe
avaliar	avaliar
o	o
seu	seu
merecimo	merecimento
	,
foi	foi
quem	quem
me	me
deu	deu
noticias	notícias
individuaes	individuais

hoje	Hoje
	,
12	12
de	de
setembro	setembro
de	de
1760	1760
De	De
Vmce	VM
Mai	mãe
e	e
Comadre	comadre
munto	muito
obrigada	obrigada
	,
Roza	Rosa
Maria	Maria
EgysiaCa	Egipcíaca
da	da
vera	Vera
Crus	Cruz
Remeto	Remeto
a	a
vmce	VM
esses	esses
papelinhos	papelinhos
do	do
snor	senhor
São	São
Joaquim	Joaquim
	,
q	que
lhe	lhe
coube	coube
por	por
sorte	sorte
	,
a	a
vmce	VM
e	e
a	à
minha	minha
Comadre	comadre
	,
este	este
Anno	ano
de	de
1760	1760

a	A
ma	minha
	,
o	ao
prezete	presente
	,
he	é
boã	boa
	,
deos	Deus
Louvado	louvado
	,
e	e
a	a
ofereso	ofereço
ao	ao
serviso	serviço
e	e
dispor	dispor
de	de
vmce	VM

agora	Agora
esta	está
na	na
quinta	Quinta
;	--
e	e
nós	nós
padecendo	padecendo

e	E
tãobem	também
estimei	estimei
mto	muito
que	que
viese	viesse
pa	para
baicho	baixo
	,
porque	porque
ja	já
eu	eu
e	e
o	o
meu	meu
Padre	padre
e	e
as	as
meninas	meninas
estavamos	estávamos
Com	com
cuidado	cuidado
e	e
desconfiados	desconfiados
q	que
o	o
portador	portador
não	não
chegaria	chegaria
a	a
tempo	tempo
por	por
Cauza	causa
da	da
sua	sua
perna	perna
	,
porq	porque
	,
emqto	enquanto
ca	cá
esteve	esteve
	,
esteve	esteve
Com	com
ela	ela
doente	doente
	,
e	e
chegou	chegou
ja	já
Com	com
ela	ela
molestada	molestada

e	E
para	para
se	se
sertificar	certificar
ahi	aí
Bai	vai
o	o
meu	meu
sinal	sinal

e	E
eu	eu
pelejei	pelejei
Com	com
ela	ela
e	e
ela	ela
tudo	tudo
Resebeu	recebeu
Com	com
humildade	humildade

Emfim	Enfim
	,
como	como
vio	viu
,	--
q	que
eu	eu
era	era
contra	contra
,	,
disfarçou	disfarçou
o	o
q	que
pode	pode
,	,
e	e
entendo	entendo
q	que
com	com
as	as
Sras	senhoras
Irmãas	irmãs
he	é
q	que
mais	mais
se	se
declararia	declararia
,	,
porq	porque
	,
como	como
neste	neste
negocio	negócio
era	era
procuradora	procuradora
de	de
Ma	Maria
de	de
Ramos	Ramos
	,
havia	havia
de	de
fazer	fazer
as	as
ptes	partes
mto	muito
bem	bem
feitas	feitas
pa	para
as	as
capacitar	capacitar
a	a
fazer	fazer
os	os
tais	tais
pedidos	pedidos

ele	Ele
antão	então
pegou	pegou
No	no
saco	saco
as	às
costas	costas
	,
deitou	deitou
hũa	uma
,	--
pa	para
diante	diante
	,
outra	outra
para	para
tras	trás
e	e
topou	topou
Com	com
hũ	um
seu	seu
amigo	amigo
e	e
lhe	lhe
perguntou	perguntou
para	para
honde	onde
hia	ia
ele	ele

se	Se
assim	assim
for	for
	,
faze lhe	faze-lhe
mil	mil
saudozas	saudosas
protestações	protestações
de	de
estimação	estimação
.	--
e	e
amizade	amizade
da	da
ma	minha
parte	parte
,	,
igualmente	igualmente
me	me
farás	farás
lembrado	lembrado
ao	ao
senr	senhor
Asmodeu	Asmodeu
,	,
que	que
cuide	cuide
na	na
salvação	salvação
,	--
e	e
em	em
emendar	emendar
a	a
vida	vida
dissoluta	dissoluta
,	--
q	que
segue	segue
,	,
antes	antes
q	que
seja	seja
tarde	tarde
;	,
pois	pois
que	que
Noivo	noivo
chega	chega
quando	quando
o	o
descuidado	descuidado
menos	menos
o	o
espera	espera

Todas	Todas
aquellas	aquelas
obras	obras
pellas	pelas
quoais	quais
alguẽ	alguém
se	se
aparta	aparta
da	da
commũ	comum
vida	vida
e	e
convercação	conversação
dos	dos
Fieis	fiéis
	,
dos	dos
Rittos	ritos
aprovados	aprovados
pella	pela
Iga	igreja
	,
das	das
doutrinas	doutrinas
Recebidas	recebidas
dos	dos
SS	senhores
PP	padres
,	,
dos	dos
perceittus	preceitos
que	que
respeittão	respeitam
mais	mais
os	os
communs	comuns
costumes	costumes
,	--
que	que
os	os
particulares	particulares
,	,
ou	ou
o	o
constituhẽ	constituem
harege	herege
ou	ou
de	de
herezia	heresia
suspeitto	suspeito

o	O
dizer	dizer
v mce	VM
q	que
eu	eu
me	me
esqueso	esqueço
de	de
v mce	VM
qdo	quando
he	é
Rara	rara
a	a
ves	vez
q	que
o	o
meu	meu
pensamto	pensamento
me	me
não	não
aprezenta	apresenta
la	lá
	,
Comtanto	contanto
q	que
me	me
parese	parece
q	que
estou	estou
em	em
Corpo	corpo

Com	Com
isto	isto
não	não
quero	quero
ser	ser
mais	mais
empertuna	importuna

meu	Meu
Padre	padre
Franco	Francisco
Lopes	Lopes
bem	bem
o	o
conhece	conhece

meu	Meu
filho	filho
	,
querote	quero-te
pedir	pedir
hum	um
fabor	favor
	,
se	se
tu	tu
me	me
puderes	puderes
fazer	fazer
	,
senão	senão
não	não
te	te
quero	quero
que	que
tu	tu
te	te
infades	enfades

e	E
Anto	António
de	de
Araujo	Araújo
	,
o	o
nosso	nosso
vizinho	vizinho
	,
q	que
não	não
sabe	sabe
o	o
q	que
cá	cá
socede	sucede
	,
mas	mas
fala	fala
sempre	sempre
nestas	nestas
molheres	mulheres
;	,
diz	diz
q	que
está	está
hũa	uma
Urçula	Úrsula
	,
q	que
veyo	veio
de	de
fora	fora
;	,
mas	mas
asiste	assiste
neste	neste
bairro	bairro
	,
q	que
hé	é
fina	fina
feiticeira	feiticeira

para	Para
haver	haver
quietasão	quietação
	,
mande	mande
o	o
mulato	mulato
para	para
a	a
fazenda	fazenda
do	do
gado	gado
e	e
a	a
ela	ela
asoutemna	açoutem-na
bem	bem
e	e
tragãona	tragam-na
bem	bem
supiada	sopeada
diante	diante
dos	dos
olhos	olhos
e	e
tãobem	também
não	não
quero	quero
o	o
mulato	mulato
ahi	aí
	,
por	por
amor	amor
das	das
meninas	meninas
	!
nem	Nem
quero	quero
q	que
a	a
crioula	crioula
tenhão	tenham
Com	com
elas	elas
mta	munta
comversa	conversa
nem	nem
comfiansa	confiança
	,
porq	porque
hũa	uma
carne	carne
danada	danada
metida	metida
no	no
meio	meio
da	da
outra	outra
q	que
está	está
sam	sã
tambem	também
a	a
dana	dana
tãobem	também

com	Com
capa	capa
de	de
zelo	zelo
	,
tiroas	tirou-as
do	do
rebanho	rebanho
separandoas	separando-as
dos	dos
çeu	seu
pastor	pastor
e	e
pastora	pastora
para	para
as	as
intregar	entregar
ao	ao
maldito	maldito
rebanho	rebanho
do	do
--	--
inimigo	inimigo
infernal	infernal

Meu	Meu
amo	amigo
e	e
meu	meu
snr	senhor
de	de
todo	todo
o	o
meu	meu
affecto	afeto
,	--
e	e
veneraçam	veneração

Meu	Meu
alivio	alívio
e	e
todo	todo
o	o
meu	meu
bem	bem

qdo	Quando
Vm	VM
as	as
mandou	mandou
aos	aos
capuxos	Capuchos
	,
a	à
via sacra	via-sacra
	,
Estando	estando
Elas	elas
de	de
joelhos	joelhos
la	lá
dentro	dentro
	,
se	se
ergeo	ergueu
ela	ela
E	e
lhe	lhe
falou	falou

ella	Ela
tem	tem
feito	feito
couzas	cousas
a	a
varias	várias
religas	religiosas
	,
não	não
só	só
de	de
martirios	martírios
;	,
mas	mas
outras	outras
couzas	cousas
;	,
q	que
hé	é
hũ	um
grde	grande
milagre	milagre
de	de
N	Nosso
Pe	Padre
não	não
fazer	fazer
grde	grande
ruina	ruína
nestas	nestas
pobres	pobres
creaturas	criaturas

tu	Tu
me	me
mandas	mandas
dizer	dizer
se	se
heu	eu
Resevi	recebi
os	os
sapatos	sapatos
e	e
as	as
meias	meias

Eu	Eu
vou	vou
passando	passando

Esta	Esta
faço	faço
só	só
por	por
dar	dar
a	a
vmce	VM
gosto	gosto
de	de
ver	ver
as	as
minhas	minhas
Letras	letras
pa	para
vmce	VM
se	se
rir	rir
hũ	um
bucadinho	bocadinho
e	e
mais	mais
toda	toda
a	a
caza	casa

esta	Esta
	,
fasoa	faço-a
por	por
não	não
desConsolar	desconsolar
a	a
vmce	VM
e	e
a	à
minha	minha
Snra	senhora
	,
q	que
eu	eu
hei	hei
de	de
	,
qdo	--
tiver	--
quando	quando
tiver	tiver
outro	outro
portador	portador
	,
porq	porque
este	este
vai	vai
mto	muito
breve	breve

Snor	Senhor
Po	Pedro
Roiz	Rodrigues
Arvelos	Arvelos

e	E
não	não
foi	foi
dro	dinheiro
que	que
a	a
vmce	VM
me	me
emprestou	emprestou
	,
como	como
vmce	VM
podera	poderá
dizer	dizer
	,
mas	mas
sim	sim
hũ	um
poco	pouco
de	de
galão	galão
que	que
mandou	mandou
tomar	tomar
na	na
compa	companhia

como	Como
de	de
nenhũa	nenhuma
sorte	sorte
se	se
pode	pode
;	,
nem	nem
com	com
ajuda	ajuda
de	de
mta	muita
gente	gente
	,
mover	mover
:	,
porq	porque
esperavamos	esperávamos
expirace	expirasse
por	por
instantes	instantes
;	,
porq	porque
os	os
desmayos	desmaios
	,
perdidos	perdidos
os	os
sentidos	sentidos
	,
erão	eram
repetidos	repetidos

depois	Depois
de	de
averiguarem	averiguarem
os	os
negocios	negócios
e	e
saberem	saberem
a	a
serteza	certeza
	,
fasase	faça-se
Logo	logo
o	o
q	que
dis	diz
o	o
Snr	Senhor

Sempre	Sempre
te	te
hei	hei
de	de
ter	ter
o	o
mesmo	mesmo
amor	amor
e	e
mais	mais
ainda	ainda
	,
pois	pois
não	não
quero	quero
houtro	outro
senão	senão
a	a
ti	ti
	,
pois	pois
so	só
tu	tu
me	me
queres	queres
bem	bem
e	e
hes	és
o	o
meu	meu
amor	amor

dizem	Dizem
q	que
os	os
seus	seus
inimigos	inimigos
de	de
Braga	Braga
ja	já
conhecem	conhecem
q	que
he	é
dos	dos
melhores	melhores
Prelados	prelados
do	do
Reino	reino

mas	Mas
	,
Como	como
he	é
empedida	impedida
	,
não	não
se	se
pode	pode
fazer	fazer
ese	esse
apartamento	apartamento
	,
porq	porque
ese	esse
nó	nó
só	só
,	--
a	a
Ds	Deus
,	--
pertense	pertence
de	de
catar	catar

tudo	Tudo
o	o
mais	mais
	,
Ds	Deus
noso	Nosso
