AN	An
der	der
grobheit	Grobheit
ires	ihres
ſafftes	Safts

vnd	und
die	die
erſten	erste
hat	hat
ſÿ	sie
von	von
jr	ihrer
hicz	Hitze
vnd	und
von	von
irer	ihrer
pitterkeit	Bitterkeit
wãn	wann
wermůt	Wermut
iſt	ist
heÿſz	heiß
in	in
dẽ	dem
erſten	ersten
grad	Grad
vñ	und
trucken	trocken
in	in
dem	dem
anderen	anderen
⸗	-
¶	¶

Von	Von
dem	dem
anetkraut	Anetkraut

das	das
iſt	ist
heyſz	heiß
vñ	und
trucken	trocken
als	als
platearius	Platearius
ſpricht	spricht

wenn	wenn
man	man
es	es
kewet	kaut
oder	oder
ſeüt	siedet
vnd	und
trinckt	trinkt
das	das
ſterckt	stärkt
das	das
hiren	Hirn
vñ	und
den	den
magen	Magen
vnd	und
benimbt	benimmt
die	die
wind	Winde
in	in
dẽ	dem
leibe	Leibe
vnd	und
iſt	ist
gar	gar
gůt	gut
zů	zu
kochen	kochen
das	das
harm̃ waſſer	Harnwasser
in	in
dẽ	dem
leib	Leibe
⸗	-

Das	Das
kraut	Kraut
zeitigt	zeitigt
vñ	und
kocht	kocht
die	die
kalten	kalte
feücht	Feuchtigkeit
in	in
dem	dem
magen	Magen
vnd	und
in	in
dem	dem
leibe	Leibe
vnd	und
pringt	bringt
gůten	guten
ſchlaff	Schlaf
⸗	-

Aber	Aber
iſt	isst
man	man
es	es
dick	dick
ſo	so
krenckt	kränkt
es	es
dz	das
geſicht	Gesicht
/	/

welche	welche
am̃	Ammen
des	des
krautes	Krauts
ſamen	Samen
ſauffent	saufen
in	in
ſauffen	Saufe
von	von
fleÿſch	Fleisch
oder	oder
ſunſt	sonst
das	das
bringt	bringt
vil	viel
milche	Milch
⸗	-

Du	Du
ſolt	sollst
auch	auch
nit	nicht
gedencken	gedenken
noch	noch
wenen	wähnen
das	dass
anet kraut	Anetkraut
eniſzkraut	Aniskraut
heÿſz	heißt
wãn	wann
dz	das
iſt	ist
ein	ein
ander	anderes
kraut	Kraut
als	als
hernach	hiernach
kunt	kund
wirt	wird
¶	¶

Apium	Apium
heiſt	heißt
epff	Epff

das	das
kraut	Kraut
iſt	ist
heiſz	heiß
vñ	und
trucken	trocken
/	/
alsplatearius	als Platearius
ſpricht	spricht

vñ	und
ſein	seine
wurcz	Wurzel
vnd	und
ſein	seine
bleter	Blätter
ſein	sind
in	in
ercznei	Arznei
gůt	gut

eins	eines
wechſt	wächst
auff	auf
bergen	Bergen
dz	das
ander	andere
an	an
velden	Feldern
/	/

vñ	und
dz	das
vierd	vierte
wechſt	wächst
in	in
waſſer	Wasser
/	/

vñ	und
einerlei	einerlei
iſt	ist
des	des
ſtam̃	Stamm
iſt	ist
hol	hohl
vñ	und
weiſzlot	weißlich
⸗	-

Das	Das
heimiſch	heimische
epich	Eppich
macht	macht
dẽ	den
munt	Mund
wolſchmeckent	wohlschmeckend
/	/

aber	aber
es	es
iſt	ist
dẽ	dem
haubt	Haupt
boͤſz	böse
vnnd	und
erweckt	erweckt
den	den
vallenden	wallenden
ſiechtumbe	Siechtum
der	der
zů	zu
latein	Latein
epilentia	Epilentia
heyſt	heißt

wer	wer
auch	auch
des	des
krautz	Krauts
wurczelen	Wurzeln
an	an
den	den
halſz	Hals
henckt	hängt
dem	dem
vertreybt	vertreibt
ſÿ	sie
den	den
czan ſchmerczen	Zahnschmerz
⸗	-

¶	¶
Galienus	Galienus
ſpricht	spricht
das	dass
das	das
kraut	Kraut
gůt	gut
ſeÿ	sei
zů	zu
eſſen	essen
mit	mit
lactucken	Lactuken

wann	wann
es	es
ſenfftiget	sänftigt
der	der
lactucken	Lactuken
kelten	Kälte

Vñ	Und
ſeÿd	seit
der	der
ſam	Samen
das	das
harm waſſer	Harnwasser
bringt	bringt
vñ	und
der	der
frawen	Frauen
heimlichheÿt	Heimlichkeit
dauon	davon
iſt	ist
er	er
ſchwangeren	schwangeren
frawen	Frauen
nit	nicht
gůt	gut
/	/

wer	wer
dẽ	den
ſamen	Samen
temperiret	temperiert
mit	mit
weiſſen	weißen
wein	Wein
vnd	und
pindet	bindet
in	ihn
auff	auf
der	der
plateren	Blatter
ſtat	Stätte
das	das
bringet	bringt
jm	ihm
das	das
harm waſſer	Harnwasser
⸗	-

¶	¶
Es	Es
ſprechen	sprechen
auch	auch
ettlich	etliche
das	dass
/	/
das	das
kraut	Kraut
vnd	und
ſein	sein
ſam	Samen
den	den
ammen	Ammen
ſchad	Schaden
ſeÿ	sei

vnnd	und
als	als
dÿaſcõdes	Dioskurides
ſpricht	spricht
⸗	-

Die	Die
wurcz	Wurzel
iſt	ist
mangerleÿ	mancherlei
/	/

vnnd	und
etlich	etlich
als	als
die	die
weinreben aͤſt	Weinrebenäste
vnder	unter
dem	dem
krautt	Kraut
iſt	ist

eins	eins
ſÿ	sei
das	das
ander	andere
eher	eher
⸗	-

Das	Das
kraut	Kraut
iſt	ist
behend	behände
vnnd	und
geÿt	geht
von	von
einer	einer
wurcz	Wurzel
vil	viel
lenger	längere
aͤſt	Äste

vnd	und
iſt	ist
in	in
ſeiner	seiner
plůmen	Blume
ein	ein
rot	rotes
dingel	Ding
geſtalt	gestaltet
als	als
ein	ein
huͤtel	Hütchen

dz	das
ſtinckt	stinkt

das	das
kraut	Kraut
iſt	ist
an	an
der	der
krafft	Kraft
heÿſz	heiß
vnnd	und
trucken	trocken
vnd	und
hat	hat
die	die
krafft	Kraft
das	dass
es	es
abwiſchet	abwischt
vnnd	und
reinnigt	reinigt

wann	wann
es	es
reinnigt	reinigt
die	die
zaͤn	Zähne
von	von
irer	ihrer
vnſauberkeit	Unsauberkeit
vnd	und
die	die
haut	Haut
von	von
ir	ihrer
feücht	Feuchte
vnd	und
von	von
iren	ihren
malen	Malen
vnd	und
klert	klärt
des	des
leibes	Leibes
farb	Farbe
/	/

vnd	und
wenn	wenn
man	man
ſeinen	seinen
ſaffte	Saft
in	in
die	die
oren	Ohren
treÿfft	träuft
mit	mit
hoͤnig	Honig
das	das
ſcherpfft	schärft
das	das
gehoͤr	Gehör
vñ	und
reinnigt	reinigt
die	die
oren	Ohren
von	von
iren	ihren
vnſauberkeiten	Unsauberkeiten

vnnd	und
wert	wird
daz	dass
ÿechs	nichts
aÿters	Eiters
darinnen	darinnen
werd	werde
⸗	-

Als	Als
iſt	ist
auch	auch
gar	gar
zů mal	zumal
gůt	gut
den	den
hînuallendẽ	Hinfallenden
die	die
zů	zu
latein	Latein
epilentici	epilentici
heÿſſen	heißen
vnnd	und
reinniget	reinigt
die	die
průſt	Brust
⸗	-

Welche	Welche
fraw	Frau
es	es
trinckt	trinkt
mitt	mit
mirren	Myrrhe
vnnd	und
mit	mit
pfeffer	Pfeffer
die	die
fürbt	färbt
es	es
vnnd	und
reinnigt	reinigt
ſÿ	sie
von	von
der	der
überflüſſigkeit	Überflüssigkeit
in	in
der	der
můter	Mutter
wẽn	wenn
ſÿ	sie
gepirdt	gebärt
vñ	und
bringt	bringt
der	der
frawen	Frauen
heimlichkeit	Heimlichkeit
vñ	und
zeücht	zieht
die	die
gepurd	Geburt
auſz	aus
der	der
guldẽ	goldenen
porten	Pforte
¶	¶

Das	Das
kraut	Kraut
zeücht	zieht
auch	auch
dorn	Dornen
auſz	aus
des	des
menſchen	Menschen
fleiſch	Fleisch
vnd	und
pfeyl	Pfeile
vnd	und
andere	andere
ding	Dinge
⸗	-

Es	Es
iſt	ist
auch	auch
gůt	gut
für	für
der	der
vergifftigen	vergiftenden
tier	Tiere
bÿſz	Biss
ſein	sein
puluer	Pulver
mitt	mit
munczen ſafft	Minzensaft
oder	oder
ein	ein
meiſſel	Meißel
gedeücht	gedeucht
in	in
das	das
puluer	Pulver
mitt	mit
hoͤnig	Honig
negt	nagt
das	das
tod	tote
oder	oder
das	das
wild	wilde
fleiſch	Fleisch
auſz	aus
den	den
wunden	Wunden

wenn	wenn
ein	eine
fraw	Frau
ein	ein
tod	totes
kindel	Kind
beÿ	bei
ir	ihr
habe	habe
die	die
trinck	trinke
weÿn	Wein
mit	mit
des	des
krauts	Krauts
wurczelen	Wurzeln
geſoten	gesotten

das	das
treÿbt	treibt
die	die
todtẽ	tote
gepurdt	Geburt
auſz	aus
/	/

Von	Von
dem	dem
knoblach	Knoblauch

Alium	Alium
heÿſt	heißt
knoblach	Knoblauch

der	der
iſt	ist
heÿſz	heiß
vnd	und
trucken	trocken
mit	mit
ſeiner	seiner
krafft	Kraft
vnd	und
iſt	ist
gůt	gut
wider	wider
die	die
kalten	kalten
vergifft	Vergiftung

darumb	darum
ſpricht	spricht
man	man
knoblach	Knoblauch

Er	Er
ſchat	schadet
auch	auch
dẽ	dem
geſicht	Gesüchte
in	in
ganczem	ganzem
leib	Leib
wẽn	wenn
man	man
ſein	seiner
zeuil	zu viel
nimbt	nimmt
⸗	-

Von	Von
dem	dem
verbkrautt	Färbkraut

Alterana	Alterana
heÿſt	heißt
ferbkraut	Färbkraut
darũb	darum
dz	dass
es	es
des	des
menſchen	Menschen
leib	Leib
verb	färbt
/	/

dz	das
kraut	Kraut
iſt	ist
an	an
der	der
krafft	Kraft
kalt	kalt
vnd	und
trucken	trocken

aber	Aber
an	an
dẽ	dem
erſten	ersten
tag	Tag
ſcheint	scheint
die	die
geſalbten	gesalbten
glið	Glieder
gar	gar
vngeſtalt	ungestalt
an	an
dẽ	dem
anderen	anderen
tag	Tag
nit	nicht
ſo	so
vngeſtalt	ungestalt
an	an
dẽ	dem
dritten	dritten
allerminſt	allermindest
vñ	und
an	an
dẽ	dem
vierdẽ	vierten
gar	gar
leicht	leicht
vñ	und
lautẽ	lauter

vñ	und
dar zů	dazu
iſt	ist
auch	auch
cinamomes	Cinamomes
puluer	Pulver
gůt	gut
haſt	hast
du	du
kein	kein
anðs	anderes
¶	¶

vñ	und
dz	das
kraut	Kraut
hat	hat
ſamen	Samen
der	der
heiſt	heißt
auch	auch
eins	Anis

vnd	und
heÿſt	heißt
man	man
es	es
auch	auch
ſuͤſſen	süßen
kümel	Kümmel

Es	Es
meret	mehrt
auch	auch
der	der
frawen	Frauen
milch	Milch
in	in
dẽ	den
brüſtlin	Brüstlein
vñ	und
bringt	bringt
das	das
harm waſſer	Harnwasser
vaſt	fast
vnd	und
dẽ	der
frawen	Frauen
ir	ihre
gewonheÿt	Gewohnheit
oder	oder
ir	ihre
heimlichkeÿt	Heimlichkeit
vñ	und
reiniget	reinigt
die	die
můter	Mutter
von	von
dẽ	den
weiſſen	weißen
flüſzſen	Flüssen
⸗	-

Aber	Aber
es	es
locket	lockt
ze	zu
vnkeüſch	Unkeusche

Von	Von
dem	dem
beyboſz	Beiboß

Artemeſia	Artemesia
heiſt	heißt
peiboſz	Beiboß

das	das
kraut	Kraut
iſt	ist
heiſz	heiß
vñ	und
trucken	trocken
vñ	und
dẽ	denen
gůt	gut
die	die
vnberhafft	unverhofft
ſein	sind
von	von
überiger	übriger
feüchtin	Feuchte
/	/

es	es
ſprechen	sprechen
auch	auch
die	die
meiſter	Meister
wer	wer
es	es
an	an
die	die
bein	Beine
bind	binde
es	es
benem	benimmt
den	den
weg reÿſen	Wegreisen
ir	ihre
muͤd	Müdigkeit

wer	wär
deñ	denn
zaubert	verzaubert
¶	¶

Von	Von
der	der
mollt	Melde

das	das
kraut	Kraut
hat	hat
preyte	breite
pleter	Blätter
mit	mit
weiſz	Weiß
geſprenget	gesprenkelt
als	als
mel	Mehl

Althea	Althea
heiſt	heißt
weiſz papelen	Weißpappel
das	das
kraut	Kraut
iſt	ist
heÿſz	heiß
in	in
einer	einer
ebenmeſſigkeit	Ebenmäßigkeit
vnd	und
heiſt	heißt
auch	auch
zů	zu
latein	Latein
viſzmalua	vis malua
/	/
vnd	und
hat	hat
bletter	Blätter
als	als
die	die
papelen	Pappeln
haben	haben

aber	aber
das	das
kraut	Kraut
iſt	ist
groͤſſer	größer
vñ	und
hat	hat
lange	lange
bain	Beine
/	/
vñ	und
hat	hat
der	derer
vil	viele
auſz	aus
einer	einer
wurczel	Wurzel
geend	gehend

das	das
kraut	Kraut
iſt	ist
gůt	gut
dẽ	den
ſchmerczen	Schmerzen
der	der
in	in
der	der
gelider	Glieder
zů fuͤg	zugefügt
iſt	ist
do	da
die	die
gelider	Glieder
auff einanð ſtoſſen	aufeinanderstoßen
als	als
in	in
dẽ	den
knie	Knien
vñ	und
anderſwa	anderswo
/	/

ſo	so
man	man
dz	das
kraut	Kraut
ſeüdt	siedet
ſo	so
reiniget	reinigt
es	es
dẽ	den
leib	Leib
von	von
dẽ	dem
geſtanck	Gestank
vñ	und
von	von
ð	der
ſencken	Senge
dẽ	der
überflüſſigkeit	Überflüssigkeit
in	in
dẽ	dem
leib	Leib
/	/

wenn	wenn
man	man
ſeinen	seinen
ſamen	Samen
trinckt	trinkt
mit	mit
wein	Wein
vnd	und
mit	mit
oͤl	Öl
daz	das
iſt	ist
gůt	gut
für	für
vergüfft	Vergiftung
⸗	-

Auricula	Auricula
muris	muris
heiſt	heißt
mauſzoͤrl	Mausöhrl
darumb	darum
dz	dass
das	das
kraut	Kraut
pleter	Blätter
hat	hat
geſtalt	gestaltet
als	als
der	der
mauſzoͤrl	Mausöhrl
ſeind	sind
vnd	und
preÿt	breitet
ſich	sich
auff	auf
die	die
erd	Erde
vnd	und
hat	hat
plawe	blaue
ploͤmel	Blümel
vnd	und
iſt	ist
an	an
der	der
krafft	Kraft
kalt	kalt
vnd	und
feücht	feucht
vnd	und
hat	hat
all	all
die	die
krafft	Kraft
die	die
die	die
wermůt	Wermut
hat	hat
/	/

vñ	und
ſo	so
man	man
das	das
kraut	Kraut
trinckt	trinkt
vnd	und
mit	mit
der	der
naſen	Nase
neüſt	niest
darauſz	daraus
das	das
iſt	ist
den	den
hinuallenden	Hinfallenden
gůt	gut
⸗	-

¶	¶
Von	Von
der	der
Bathonien	Bathonien
⸗	-

Bethonica	Bethonica
heÿſt	heißt
bethonig	Bethonig

vñ	und
ſein	seine
pleter	Blätter
ſeind	sind
zů	zu
ercznej	Arznei
gůt	gut

es	es
ſeÿ	sei
das	das
kraut	Kraut
grien	grün
oder	oder
dürr	dürr
ſo	so

dz	das
kraut	Kraut
ſůchen	suchen
die	die
zauberer	Zauberer
gar	gar
vil	viel
vnd	und
ſſprechen	sprechen
daz	dass
es	es
ein	eine
kraft	Kraft
hab	habe
zů	zu
warſagẽ	wahrsagen
weñ	wenn
man	man
es	es
beſchwoͤr	beschwöre
als	als
man	man
ſol	soll

vnd	und
zwar	zwar

do	Da
ſol	soll
die	die
red	Rede
beleibe	bleiben
⸗	-

¶	¶
Von	Von
dem	dem
Baſilig	Basilik
⸗	-

Baſilicon	Basilikum
heiſt	heißt
ein	ein
baſilig	Basilik

dz	das
kraut	Kraut
hat	hat
einedeln	einen edlen
ſchmack	Geschmack

dz	das
kraut	Kraut
heiſt	heißt
auch	auch
traguntea	traguntea
oð	oder
ſerpentoria	serpentoria
oð	oder
colũbina	columbina
vñ	und
iſt	ist
zweierleÿ	zweierlei

dz	das
ein	eine
hat	hat
lange	lange
pleter	Blätter
vñ	und
dz	das
anð	andere
groſſe	große
nahent	nahend
als	als
ð	der
münczen	Münzen
pleter	Blätter
/	/

dz	das
kraut	Kraut
iſt	ist
heiſz	heiß
vnd	und
truckẽ	trocken
vñ	und
hat	hat
