sobre	Sobre
puedo	puedo
salir	salir
de	de
aqui	aquí
si	si
no	no
venis	venís
a	a
negoziar	negociar
por	por
mi	mí
	,
porque	porque
salga	salga
de	de
aqui	aquí
antes	antes
que	que
venga	venga
la	la
corte	corte
a	a
esta	esta
villa	villa
	,
porque	porque
viene	viene
Ronquillo	Ronquillo
en	en
ella	ella
y	y
	,
si	si
me	me
alla	halla
en	en
esta	esta
carzel	cárcel
	,
castigarme	castigarme
a	ha
por	por
lo	lo
echo	hecho

vm	VM
m	me
enbie	envíe
un	un
poder	poder
pa	para
cobrar	cobrar
de	de
toledo	Toledo
	,
si	si
pudiere	pudiere
	,
algo	algo
qu	que
es	es
venido	venido
ya	ya
aqui	aquí

y	Y
lo	lo
que	que
yo	yo
querria	querría
es	es
que	que
	,
sin	sin
dar	dar
a	a
entender	entender
nada	nada
	,
preguntase	preguntase
Ella	ella
o	o
Esotra	esotra
muger	mujer
a	a
su	su
madre	madre
	,
señora	señora
	,
si	si
agora	ahora
me	me
saliese	saliese
un	un
casamio	casamiento
q	qué
me	me
dariedes	daríades
	,
para	para
q	que
yo	yo
lo	lo
sepa	sepa

franco	Francisco
sillen	Sillén
se	se
dio	dio
a	a
la	la
piedad	piedad
con	con
sbenito	sambenito
perpetuo	perpetuo
y	y
a	a
juo	Julio
de	de
sotomayor	Sotomayor
le	le
tornaron	tornaron
a	a
la	la
ynquisiçion	Inquisición
y	y
le	le
dieron	dieron
dozientos	doscientos
açotes	azotes
y	y
a	a
tres	tres
años	años
de	de
carçel	cárcel
y	y
el	el
sbenito	sambenito
tres	tres
años	años

que	Que
yo	yo
	,
salido	salido
de	de
aqui	aquí
	,
no	no
lo	lo
tengo	tengo
en	en
un	un
marabedi	maravedí
	,
porque	porque
en	en
verdad	verdad
yo	yo
tengo	tengo
de	de
castigar	castigar
mui	muy
bien	bien
lo	lo
echo	hecho
y	y
nadie	nadie
me	me
osara	osará
ablar	hablar
en	en
tal	tal
caso	caso
	,
porque	porque
yo	yo
dare	daré
sastifazion	satisfacción
a	a
lo	lo
demas	demás

yo	Yo
me	me
e	he
detenido	detenido
pensando	pensando
de	de
los	los
acavar	acabar
con	con
cavalleros	caballeros
y	y
la	la
corona	Corona

y	Y
con	con
esto	esto
zeso	ceso

este	Este
año	año
a	ha
vido	habido
muy	muy
Ruinas	ruinas
sedas	sedas
y	y
pocas	pocas
	,
y	y
vale	vale
el	el
preçio	precio
por	por
el	el
suelo	suelo
	,
q	que
no	no
sube	sube
de	de
a	a
dos	dos
Rs	reales
la	la
s	seda

lo	Lo
que	que
le	le
ruego	ruego
	,
por	por
amor	amor
de	de
dios	Dios
	,
mire	mire
quiero	quiero
que	que
en	en
todo	todo
de	dé
contento	contento
al	al
sr	señor
mi	mi
tio	tío
	,
a	a
quien	quien
escribo	escribo

y	Y
	,
como	como
vm	VM
vera	verá
	,
son	son
todos	todos
buenos	buenos
libros	libros
	,
y	y
que	que
luego	luego
se	se
venderan	venderán
de	de
contado	contado
con	con
la	la
mas	más
ganançia	ganancia
que	que
vm	VM
pudiere	pudiere
	,
haziendo	haciendo
vm	VM
en	en
ello	ello
como	como
cosa	cosa
suya	suya
propia	propia
	,
como	como
espero	espero

y	Y
si	si
la	la
mema	memoria
que	que
vm	VM
m	me
enbia	envía
rrecibiera	recibiera
mas	más
presto	presto
	,
embiara	enviara
una	una
cargaçon	cargazón
con	con
esta	esta
armada	armada
	,
pero	pero
vino	vino
muy	muy
tarde	tarde
a	a
mi	mi
poder	poder
	,
despues	después
la	la
venida	venida
de	de
la	la
primera	primera
caravela	carabela
a	a
Sevi	Sevilla

danyel	Daniel
de	de
perea	Perea
es	es
difunto	difunto
	,
y	y
su	su
mujer	mujer
,	;
y	y
p	Pedro
martin	Martín
blanco	Blanco
	,
y	y
su	su
mujer	mujer
	,
y	y
su	su
yjo	hijo
antoño	Antonio
d	de
espejo	Espejo
	,
todos	todos
son	son
muerto	muerto
	;
y	y
bartolome	Bartolomé
romero	Romero
	,
veso	vuestro
tio	tío
	,
que	que
lo	lo
mato	mató
un	un
macho	macho
de	de
una	una
coz	coz
.	;
y	y
veso	vuestro
tio	tío
juan	Juan
de	de
alcudia	Alcudia
talaverano	Talaverano
tambien	también
es	es
muerto	muerto
	,
que	que
lo	lo
mataron	mataron
encima	encima
de	de
un	un
caballo	caballo
aziendo	haciendo
unas	unas
fiesta	fiesta
en	en
la	la
plaza	plaza
de	de
toremilano	Torremilano
	:
se	se
encontraron	encontraron
el	él
y	y
otro	otro
caballero	caballero
y	y
los	los
caballos	caballos
	,
y	y
cayeron	cayeron
ambos	ambos
y	y
los	los
caballos	caballos
	;
y	y
el	él
murio	murió
de	de
la	la
caida	caída
al	al
cabo	cabo
de	de
quatro	cuatro
meses	meses
	,
que	que
nuca	nunca
se	se
lebanto	levantó
de	de
una	una
cama	cama
en	en
todo	todo
este	este
tienpo	tiempo

ao	Afonso
Rodriguez	Rodríguez
castro	Castro
se	se
dio	dio
a	a
la	la
piedad	piedad
y	y
un	un
año	año
de	de
sbenito	sambenito

	)
Fecha	Fecha
a	a
xxiiiio	XXIIIo
d	de
este	este
mes	mes

y	Y
a	a
las	las
cartas	cartas
que	que
enbiastes	enviastes
os	os
respondimos	respondimos
luego	luego
	,
y	y
las	las
llevo	llevó
ju	Juan
muñoz	Muñoz
vejarano	Vejarano
	;
y	y
an	han
venido	venido
suyas	suyas
	,
despues	después
que	que
esta	está
en	en
esas	esas
partes	partes
	,
un	un
millon	millón
de	de
cartas	cartas
suyas	suyas
	,
y	y
nuca	nunca
emos	hemos
visto	visto
vuestras	vuestras
ningunas	ningunas
asta	hasta
oy	hoy
dia	día
de	de
la	la
fecha	fecha
	;
deve	debe
de	de
averse	haberse
acabado	acabado
en	en
la	la
ciudad	ciudad
de	de
los	Los
angeles	Ángeles
el	el
papel	papel

de	De
verdad	verdad
que	que
me	me
a	ha
sido	sido
arto	harto
disgusto	disgusto
y	y
descomodo	descómodo
en	en
mis	mis
negoçios	negocios

por	Por
otras	otras
tengo	tengo
escrito	escrito
a	a
vm	VM
	,
como	como
lo	lo
avrã	habrá
visto	visto
	,
y	y
de	de
ninguna	ninguna
e	he
tenido	tenido
respuesta	respuesta
	,
asi	así
de	de
las	las
cartas	cartas
como	como
de	de
lo	lo
que	que
tengo	tengo
enbiado	enviado
	,
qu	que
es	es
el	el
colino	colino
y	y
la	la
simite	simiente
de	de
seda	seda

Amado	Amado
y	y
muy	muy
querido	querido
sr	señor
y	y
mas	más
querido	querido
ho	hermano

qu	Que
estoy	estoy
como	como
muerto	muerto
y	y
muy	muy
avoRido	aburrido
	,
de	de
tal	tal
arte	arte
que	que
e	he
stado	estado
para	para
tomar	tomar
un	un
vocado	bocado
para	para
morir	morir
	,
y	y
en	en
verdad	verdad
que	que
lo	lo
tengo	tengo
comigo	conmigo

nro	Nuestro
sr	Señor
con	con
todos	todos

y	Y
con	con
esto	esto
zeso	ceso

una	Una
reçibi	recibí
de	de
su	su
mano	mano
escrita	escrita
de	de
los	los
4	4
de	de
enero	enero
de	de
83	83
y	y
si	si
con	con
ella	ella
reçibi	recibí
contento	contento
juzglo	júzguelo
vm	VM
alla	allá
poner	poner
	;
yo	yo
nunca	nunca
acabaria	acabaría
de	de
explicarlo	explicarlo
	:
aber	haber
llegado	llegado
vueno	bueno
y	y
a	a
tan	tan
vuen	buen
puerto	puerto
como	como
es	es
en	en
casa	casa
del	del
sr	señor
mi	mi
tio	tío
	,
a	a
quien	quien
nuestro	Nuestro
sr	Señor
guarde	guarde

dios	Dios
se	se
lo	lo
page	pague
	,
que	que
yo	yo
no	no
puedo	puedo

a	A
mandamio	mandamiento
de	de
vasmdes	VMs
	,
po	Pero
lopez	López
de	de
la	la
cañada	Cañada
unas	Unas
cartas	cartas
os	os
e	he
escrito	escrito
con	con
un	un
caRetero	carretero
que	que
tanvien	también
os	os
envie	envié
a	a
llamar	llamar
y	y
otras	otras
con	con
un	un
estudiante	estudiante

--	--
--	--
--	--
y	Y
porqu	porque
esta	ésta
no	no
es	es
pa	para
mas	más
çeso	ceso

acuerdese	Acuérdese
de	de
darles	darles
las	las
graçias	gracias
quando	cuando
escribiere	escribiere

Al	Al
dicho	dicho
s	señor
Trevino	Treviño
escrivo	escribo
que	que
	,
en	en
lo	lo
que	que
me	me
mandare	mandare
a	a
lo	lo
venidero	venidero
	,
le	le
hare	haré
toda	toda
la	la
cortesia	cortesía
posible	posible

a	A
todas	todas
esas	esas
señoras	señoras
beso	beso
las	las
manos	manos
mill	mil
vezes	veces
.	--
y	y
al	al
amigo	amigo
el	el
botero	botero
y	y
a	a
su	su
muger	mujer
y	y
al	al
espeçiero	especiero
le	le
beso	beso
las	las
manos	manos
	;
y	y
que	que
su	su
amigo	amigo
minano	Minano
.	--
lo	lo
quemaron	quemaron
en	en
este	este
auto	auto

y	Y
lo	lo
uno	uno
y	y
lo	lo
otro	otro
a	ha
d	de
estar	estar
secreto	secreto
	,
porq	porque
despues	después
de	de
hecho	hecho
dira	dirá
su	su
madre	madre
si	si
sabe	sabe
qu	que
estamos	estamos
casados	casados
	,
pues	pues
lo	lo
abes	habéis
hecho	hecho
alla	allá
	,
o	o
sabe	sabe
ni	--
y	y
no	no
nos	nos
dara	dará
nada	nada

Fecha	Fecha
a	a
xxviiio	XXVIIIo
dias	días
d	de
este	este
mes	mes
de	de
novienbre	noviembre
d	de
este	este
presente	presente
año	año

al	Al
señor	señor
mi	mi
tio	tío
e	he
escrito	escrito
dos	dos
cartas	cartas

solo	Sólo
el	el
indiano	indiano
lo	lo
haçe	hace
conmigo	conmigo
bien	bien
	;
que	que
a	a
la	la
vm	VM
dios	Dios
os	os
de	dé
salud	salud
no	no
es	es
tenido	tenido
de	de
su	su
boca	boca

y	Y
estando	estando
secreto	secreto
podre	podré
yo	yo
quien	quien
lo	lo
trate	trate

yo	Yo
tengo	tengo
determinado	determinado
de	de
hazer	hacer
lo	lo
q	que
a	a
Vm	VM
dije	dije

y	Y
mas	más
le	le
avisa	avisad
lo	lo
que	que
aqua	acá
va	va
	;
y	y
a	a
lucia	Lucía
	,
qu	que
este	esté
escondida	escondida
entre	entre
tanto	tanto
que	que
venis	venís
y	y
vays	vais

porque	Porque
bien	bien
creo	creo
que	que
	,
si	si
el	él
pudiera	pudiera
	,
que	que
bolara	volara
aconpañaros	acompañaros
en	en
vesa	vuestra
soledad	soledad

vm	VM
lo	lo
haga	haga
si	si
fuere	fuere
servido	servido
	;
y	y
donde	donde
no	no
	,
haga	haga
vm	VM
lo	lo
que	que
dicho	dicho
es	es
	,
en	en
benefiçio	beneficio
d	de
ello	ello

Señor	Señor
	,
madre	madre
y	y
ermanos	hermanos

vas	Vuestras
merzedes	mercedes
sabran	sabrán
qu	que
esta	está
mi	mi
pleyto	pleito
para	para
dar	dar
sentenzia	sentencia
y	y
tengo	tengo
miedo	miedo
que	que
me	me
an	han
de	de
apelar	apelar
la	la
sentenzia	sentencia
para	para
Roma	Roma
o	o
para	para
consejo	Consejo
de	de
ordenes	Órdenes

ele	Hele
dado	dado
aviso	aviso
a	a
vmd	VM
pa	para
que	que
sepa	sepa
como	cómo
van	van
los	los
negoçios	negocios
y	y
creo	creo
que	que
no	no
se	se
acabaran	acabarán
tam	tan
presto	presto

y	Y
veni	vení
por	por
toledo	Toledo
	;
mas	más
vien	bien
pienso	pienso
que	que
	,
se	--
señor	señor
	,
primero	primero
verneys	vendréis
que	que
yo	yo
salga	salga
de	de
aqui	aquí

dieronle	Diéronle
mill	mil
y	y
quintos	quinientos
ducados	ducados
de	de
dote	dote
	,
todo	todo
fuesen	fuesen
cursanisimos	cursanísimos

y	Y
me	me
contentaria	contentaría
de	de
que	que
vm	VM
me	me
embiase	enviase
	,
para	para
acomodarle	acomodarle
la	la
mitad	mitad
del	del
dinero	dinero
y	y
la	la
otra	otra
primera	primera
flota	flota
despues	después
	,
el	el
Resto	resto

Conforme	Conforme
a	a
la	la
memoria	memoria
que	que
va	va
aqui	aquí
	,
Incluso	incluso
de	de
los	los
libros	libros
que	que
van	van
dentro	dentro
	,
las	las
dichas	dichas
quarenta	cuarenta
caxas	cajas
con	con
sus	sus
precios	precios
	,
y	y
	,
como	como
vm	VM
por	por
ella	ella
vera	verá
	,
montan	montan
los	los
dichos	dichos
libros	libros
enquadernados	encuadernados
	,
como	como
diçe	dice
la	la
dicha	dicha
memoria	memoria
	,
treinta	treinta
y	y
ocho	ocho
mill	mil
y	y
doscientos	doscientos
y	y
veinteyocho	veintiocho
R	reales
	,
coste	coste
d	de
aqui	aquí
d	de
españa	España
	,
como	como
se	se
venden	venden
dichos	dichos
libros	libros
a	a
todos	todos
	,
y	y
mas	más
fuera	fuera

Señor	Señor
	,
yo	yo
tenia	tenía
escrito	escrito
estas	estas
cartas	cartas
para	para
vasmds	VMs
y	y
las	las
suyas	suyas
allegaron	allegaron
a	a
tienpo	tiempo
que	que
vino	vino
el	el
Recuero	recuero

acuerdesele	Acuérdesele
de	de
escribirles	escribirles
en	en
mi	mi
carta	carta
un	un
capitulo	capítulo
	,
y	y
a	a
diego	Diego
peres	Pérez
y	y
su	su
muger	mujer

ya	Ya
yo	yo
	,
digo	digo
	,
escribo	escribo
al	al
sr	señor
mi	mi
tio	tío

porque	Porque
quien	quien
bien	bien
os	os
quiere	quiere
se	se
olgara	holgará
	;
y	y
quien	quien
mal	mal
	,
le	le
pesara	pesará

todos	Todos
estos	éstos
quemaron	quemaron
por	por
herejes	herejes
y	y
por	por
creer	creer
ê	en
la	la
ley	ley
de	de
moysen	Moisés

ansi	Así
le	le
pido	pido
por	por
md	merced
que	que
aga	haga
por	por
mi	mí
como	como
es	es
de	de
Razon	razón
	,
que	que
si	si
lo	lo
yze	hice
fue	fue
por	por
salbarme	salvarme
la	la
bida	vida
	,
como	como
le	le
envio	envío
a	a
dezir	decir

De	De
todo	todo
tomara	tomará
vm	VM
su	su
provision	provisión
acostumbrada	acostumbrada
y	y
	,
allende	allende
d	de
esso	eso
	,
quedare	quedaré
en	en
obligaçion	obligación
a	a
vm	VM
y	y
sus	sus
cosas	cosas
por	por
la	la
buena	buena
diligençia	diligencia
que	que
entiendo	entiendo
Pondra	pondrá
vm	VM
	,
con	con
mucho	mucho
cuidado	cuidado
en	en
benefiçiar	beneficiar
y	y
vender	vender
luego	luego
esta	esta
Ropa	ropa
	;
como	como
de	de
vm	VM
tengo	tengo
con	con
esto	esto
mas	más
que	que
de	de
otra	otra
persona	persona
ninguna	ninguna
	,
y	y
como	como
esto	esto
confio	confío
de	de
vm	VM
	,
haria	haría
lo	lo
mismo	mismo
de	de
toda	toda
mi	mi
hacienda	hacienda

	¡
o	Oh
	,
hija	hija
mya	mía
muy	muy
querida	querida
	!
alegrate	Alégrate
en	en
este	este
dulçe	dulce
ihu	Ihesu
y	y
hermano	hermano
nro	nuestro
y	y
myra	mira
el	el
camyno	camino
que	que
te	te
a	ha
descubyerto	descubierto
	,
para	para
allarle	hallarle
syenpre	siempre
muy	muy
benyno	benigno
y	y
amygable	amigable

por	Por
tanto	tanto
	,
las	las
cartas	cartas
que	que
vm	VM
me	me
hiziere	hiciere
m	merced
d	de
escrivir	escribir
vengan	vengan
dirigidas	dirigidas
al	al
s	señor
franco	Francisco
del	del
peso	Peso
cañas	Cañas
	,
en	en
sevilla	Sevilla
	,
q	que
es	es
hombre	hombre
principal	principal
,	,
que	que
luego	luego
me	me
las	las
embiara	enviará

que	Que
para	para
escrevir	escribir
estas	éstas
a	ha
sido	sido
gran	gran
maravilla	maravilla
alcanzar	alcanzar
lizenzia	licencia
del	del
alcayde	alcaide
	,
porque	porque
estoy	estoy
en	en
el	el
calagorzo	calagozo
y	y
de	de
aqui	aquí
no	no
veo	veo
a	a
nadie	nadie
	,
ni	ni
se	sé
quien	quién
ba	va
ni	ni
quien	quién
biene	viene

plega	Plega
a	a
nuestro	Nuestro
señor	Señor
que	que
dios	Dios
guarde	guarde
la	la
vida	vida
de	de
vasmds	VMs
como	como
yo	yo
deseo	deseo
	,
y	y
los	los
deje	deje
vevir	vivir
con	con
descanso	descanso
como	como
yo	yo
deseo	deseo
verme	verme
con	con
vasmds	VMs
fuera	fuera
d	de
esta	esta
tieRa	tierra

y	Y
ansi	ansí
me	me
parece	parece
que	que
se	se
me	me
a	ha
buelto	vuelto
todo	todo
migajo	migajo
en	en
lagrimas	lágrimas
	,
porque	porque
ni	ni
de	de
dia	día
ni	ni
de	de
noche	noche
yo	yo
no	no
os	os
puedo	puedo
olvidar	olvidar
	,
y	y
ansi	ansí
propio	propio
veso	vuestro
ermano	hermano
bastian	Bastián
	,
que	que
se	se
quedo	quedó
difunto	difunto
Ansi	ansí
que	que
se	se
lo	lo
dijeron	dijeron

e	Y
haralo	haralo
vm	VM
por	por
la	la
mejor	mejor
forma	forma
que	que
le	le
parezca	parezca
	,
sin	sin
qu	que
el	él
entienda	entienda
que	que
yo	yo
e	he
dado	dado
este	este
abiso	aviso
	;
y	y
en	en
ninguna	ninguna
manera	manera
	,
buelbo	vuelvo
a	a
deçir	decir
	,
que	que
por	por
mi	mi
quenta	cuenta
vm	VM
no	no
le	le
de	dé
cosa	cosa
alguna	alguna

Lo	Lo
que	que
yo	yo
a	a
Vm	VM
quiero	quiero
suplicar	suplicar
es	es
que	que
me	me
Reçiba	reciba
por	por
suyo	suyo
	,
pues	pues
el	el
amor	amor
q	que
yo	yo
tengo	tengo
es	es
berdadero	verdadero
y	y
para	para
secula	sécula

Assi	Así
	,
señor	señor
	,
que	que
si	si
vm	VM
fuere	fuere
servido	servido
y	y
sus	sus
amigos	amigos
de	de
embiarme	enviarme
sus	sus
memorias	memorias
de	de
los	los
libros	libros
que	que
quisieren	quisieren
por	por
su	su
quenta	cuenta
que	que
les	les
embie	envíe
	,
yo	yo
los	los
asortire	asortiré
mejor	mejor
que	que
nadie	nadie
y	y
acerca	acerca
d	de
ello	ello
procedere	procederé
como	como
vm	VM
ordenare	ordenare
	,
sin	sin
exceder	exceder
d	de
ello	ello
	,
como	como
vm	VM
vera	verá

a	A
mi	mí
me	me
a	ha
ydo	ido
razonablemente	razonablemente
a	a
como	como
a	ha
ydo	ido
a	a
otros	otros

dyos	Dios
te	te
lo	lo
de	dé
	,
y	y
a	a
my	mí
y	y
a	a
tu	tu
hermana	hermana
	,
a	a
la	la
qual	cual
veso	beso
las	las
manos	manos

y	Y
lee	leed
	,
señor	señor
	,
esa	esa
carta	carta
y	y
zeRalda	cerradla
despues	después

--	--
y	Y
la	la
venida	venida
sea	sea
por	por
toledo	Toledo
	,
porque	porque
pienso	pienso
qu	que
estare	estaré
alla	allá

y	Y
con	con
esto	esto
acabo	acabo
con	con
q	que
quisiera	quisiera
mas	más
acabar	acabar
con	con
la	la
bida	vida
	,
pues	pues
naçi	nací
para	para
amar	amar
y	y
ser	ser
desamado	desamado
de	de
Vm	VM

y	Y
conforme	conforme
a	a
ella	ella
le	le
ablareys	hablaréis
	,
y	y
mas	más
lo	lo
que	que
os	os
pareziere	pareciere
a	a
vos	vos
y	y
a	a
mi	mi
señora	señora

manaña	Manaña
	,
con	con
la	la
ayuda	ayuda
de	de
dyos	Dios
	,
sera	será
hecha	hecha

y	Y
cada	cada
año	año
embiare	enviaré
a	a
vm	VM
una	una
cargaçon	cargazón
por	por
mi	mi
quenta	cuenta
	,
porq	porque
tengo	tengo
para	para
ello	ello
tan	tan
buena	buena
comodidad	comodidad
y	y
mejor	mejor
que	que
ninguno	ninguno
de	de
nuestro	nuestro
trato	trato
de	de
libreria	librería
d	de
esta	esta
tierra	tierra

En	En
todo	todo
caso	caso
	,
procure	procure
vm	VM
la	la
venta	venta
d	de
estas	estas
quarenta	cuarenta
caxas	cajas
de	de
libros	libros
luego	luego
	,
y	y
quando	cuando
mas	más
no	no
se	se
podiere	pudiere
	,
todo	todo
de	de
contado	contado
vm	VM
mande	mande
fiarlo	fiarlo
para	para
la	la
vuelta	vuelta
d	de
esta	esta
presente	presente
flota	flota
aca	acá
lo	lo
que	que
no	no
podiese	pudiese
vender	vender
de	de
contado	contado
	,
como	como
sea	sea
a	a
personas	personas
abonadas	abonadas
y	y
seguras	seguras
a	a
pareçer	parecer
de	de
vm	VM
	,
porq	porque
estoy	estoy
muy	muy
confiado	confiado
de	de
su	su
bondad	bondad
	,
verdad	verdad
y	y
llaneza	llaneza
de	de
vm	VM

La	La
presente	presente
no	no
servira	servirá
para	para
mas	más
de	de
avisar	avisar
a	a
vm	VM
como	cómo
en	en
la	la
flota	flota
que	que
este	este
presente	presente
mes	mes
de	de
junio	junio
parte	parte
este	este
año	año
de	de
mill	mil
y	y
quinientos	quinientos
y	y
ochenta	ochenta
y	y
quatro	cuatro
años	años
d	de
este	este
pueblo	pueblo
de	de
santLucar	Sanlúcar
de	de
barrameda	Barrameda
para	para
essa	esa
tierra	tierra
de	de
nueva	Nueva
españa	España
	,
que	que
va	va
por	por
general	general
d	de
ella	ella
don	don
diego	Diego
de	de
Arze	Arce
	,
embio	envío
a	a
vm	VM
quarenta	cuarenta
caxas	cajas
de	de
libros	libros
por	por
mi	mi
quenta	cuenta
Registrados	registrados
en	en
la	la
nao	nao
	,
que	que
dios	Dios
salve	salve
	,
de	de
franco	Francisco
spinola	Espínola
	,
llamada	llamada
santa	Santa
maria	María
de	de
Aratia	Aratia
	,
que	que
va	va
por	por
maestre	maestre
Rodrigo	Rodrigo
madera	Madera

yo	Yo
temgo	tengo
compa	compañía
en	en
esto	esto
con	con
otros	otros
que	que
quedan	quedan
quejosos	quejosos
	,
que	que
pensavan	pensaban
que	que
se	se
venderian	venderían
mucho	mucho
mas	más
	,
que	que
si	si
esto	esto
no	no
se	se
entendiera	entendiera
no	no
se	se
enbiaran	enviaran
alla	allá
	,
sino	sino
que	que
en	en
sevilla	Sevilla
se	se
podian	podían
vender	vender
por	por
lo	lo
mismo	mismo
	,
porque	porque
los	los
gastos	gastos
montan	montan
poco	poco
menos	menos
de	de
los	los
40	40
por	por
çiento	ciento
	,
sin	sin
aguardar	aguardar
tanto	tanto
tiempo	tiempo
por	por
nuestro	nuestro
dinero	dinero

veso	Vuestro
padre	padre
y	y
yo	yo
	,
y	y
todos	todos
vesos	vuestros
tios	tíos
y	y
primos	primos
	,
todos	todos
tenemos	tenemos
salud	salud
para	para
lo	lo
que	que
nos	nos
querays	queráis
mandar	mandar

de	De
stlucar	Sanlúcar
de	de
barrameda	Barrameda
	,
a	a
9	9
de	de
junio	junio
de	de
1584	1584
años	años

a	A
luzia	Lucía
no	no
escribo	escribo
	:
dalde	dadle
mis	mis
encomiendas	encomiendas
y	y
dezilde	decidle
todo	todo
lo	lo
que	que
os	os
pareziere	pareciere
	,
señor	señor

no	No
me	me
escrivays	escribáis
mas	más
cartas	cartas
	,
ny	ni
yo	yo
las	las
tengo	tengo
de	de
escrevir	escribir
