solo	Sólo
que	que
esta	ésta
siempre	siempre
se	se
estara	estará
en	en
su	su
ser	ser
i	y
prunta	pronta
para	para
su	su
serviçio	servicio

he	He
tenido	tenido
ocho	ocho
hixos	hijos

Anto	Antonio
de	de
Cacares	Cáceres
sr	Señor
bernardo	Bernardo
portelo	Portelo

mas	Mas
	,
en	en
fin	fin
	,
siempre	siempre
Dios	Dios
ampara	ampara
a	a
los	los
desamparados	desamparados

y	Y
perdone	perdone
Vm	VM
el	el
enfado	enfado
	,
cuya	cuya
pna	persona
gde	guarde
Dios	Dios
mus	muchos
as	años

sienpre	Siempre
entendi	entendí
de	de
tener	tener
en	en
esta	esta
carta	carta
de	de
vmd	VM
en	en
que	que
me	me
diese	diese
muchas	muchas
nuevas	nuevas
de	de
su	su
salud	salud
y	y
si	si
aviase	habíase
ya	ya
aportado	aportado
la	la
jente	gente
	,
que	que
por	por
momentos	momentos
estoy	estoy
aguardando	aguardando
su	su
aviso	aviso
de	de
vmd	VM

y	Y
adios	adiós

Yo	Yo
ffui	fui
abra	habrá
cinco	cinco
dias	días
y	y
Able	hablé
al	al
Sr	señor
Pressidente	presidente
de	de
haçienda	hacienda

pero	Pero
a	a
tienpo	tiempo
dire	diré
lo	lo
q	que
ay	hay
	,
pareçe	parece
y	y
me	me
An	han
dicho	dicho
veria	vería

y	Y
por	por
postre	postre
se	se
alabo	alabó
le	le
avia	había
yo	yo
dado	dado
un	un
Rl	real
de	de
A	a
ocho	ocho
	,
pa	para
q	que
me	me
escondiese	escondiese
aqlla	aquella
noche	noche
q	que
fuy	fui
a	a
Casa	casa
del	del
ssr	señor
Dn	don
Joseph	José
Somoza	Somoza

si	Si
embarca	embarca
vmd	VM
algunas	algunas
lanas	lanas
en	en
estos	estos
nabios	navíos
,	,
supco	suplico
a	a
vmd	VM
que	que
sean	sean
las	las
mas	más
finas	finas
de	de
sega	Segovia
,	:
siendo	siendo
hordinarias	ordinarias
,	,
no	no
las	las
queiren	quieren

en	En
quanto	cuanto
a	a
lo	lo
que	que
vmd	VM
me	me
dise	dice
se	se
olgara	holgara
de	de
estar	estar
aca	acá
y	y
la	la
señhora	señora
mi	mi
tia	tía
,	,
mas	más
me	me
olgara	holgara
yo	yo
de	de
verlos	verlos
a	a
vmds	VMs
para	para
que	que
ayudaran	ayudaran
a	a
llevar	llevar
la	la
larga	larga
,	--
y	y
ayudar	ayudar
a	a
enseñar	enseñar
a	a
quien	quien
no	no
sabe	sabe
,	,
pues	pues
quedamos	quedamos
todos	todos
que	que
cabiamos	cabíamos
debaxo	debajo
de	de
un	un
sesto	cesto
sin	sin
madre	madre
y	y
sin	sin
padre	padre

y	Y
ynbiere	enviaré
a	a
quien	quien
mandara	mandará
vsia	VSa
o	o
los	los
tendre	tendré
guardados	guardados
para	para
quando	cuando
vsia	VSa
quiera	quiera
	,
y	y
esto	esto
sin	sin
q	que
lo	lo
sepa	sepa
don	don
hurtado	Hurtado
	,
mi	mi
sr	señor
	,
ni	ni
nayde	nadie
	,
pues	pues
	,
como	como
a	a
mi	mi
sra	señora
	,
y	y
que	que
puede	puede
onrrarme	honrarme
con	con
mandarme	mandarme
y	y
valerse	valerse
de	de
mi	mi
voluntad	voluntad
	,
lo	lo
digo	digo

Supplicole	Suplícole
a	a
Vm	VM
se	se
sirba	sirva
de	de
açer	hacer
sabidor	sabedor
al	al
amigo	amigo
don	don
Diego	Diego
Calderon	Calderón
de	de
q	que
Vm	VM
estubo	estuvo
conmigo	conmigo
	;
i	y
de	de
q	que
me	me
ablo	habló
	;
i	y
q	que
dandome	dándome
liçençia	licencia
le	le
escribire	escribiere
	,
q	que
no	no
lo	lo
e	he
echo	hecho
pq	porque
no	no
se	sé
si	si
gustaria	gustaría
de	de
q	que
le	le
escribiesse	escribiese
i	y
tambien	también
de	de
berguenssa	vergüenza
de	de
lo	lo
q	que
me	me
ssusedio	sucedió
p	por
testigos	testigos
falssos	falsos
de	de
quien	quien
nadie	nadie
esta	está
seguro	seguro
en	en
este	este
siglo	siglo

que	Que
por	por
ellas	ellas
avera	haberá
vmd	VM
visto	visto
Lo	lo
que	que
le	le
suppco	suplico

en	En
su	su
mismo	mismo
lugar	lugar
esta	esta
angela	Ángela
	,
si	si
bien	bien
arto	harto
desenparada	desamparada
sin	sin
marido	marido
,	--
ni	ni
padres	padres
que	que
la	la
consuelen	consuelen

siento	Siento
por	por
vmd	VM
	,
que	que
esta	está
a	a
la	la
vista	vista
de	de
la	la
cassa	casa

es	Es
de	de
caragoça	Zaragoza
	,
a	a
15	15
de	de
Henero	enero
de	de
1634	1634
su	Su
cuñado	cuñado
de	de
vm	VM
	,
Dieguo	Diego
Lebrero	Librero
sr	Señor
familiar	familiar

quedo	Quedo
fiado	fiado
ara	hará
como	como
tan	tan
buen	buen
cristiaño	cristiano
doliendose	doliéndose
de	de
mi	mí
	,
a	a
quien	quien
dios	Dios
gde	guarde
felizes	felices
años	años
en	en
conpañia	compañía
de	de
todo	todo
Lo	lo
que	que
bien	bien
quiere	quiere

su	Su
ermana	hermana
yo	yo
nos	nos
recomendamos	recomendamos
mucho	mucho
en	en
su	su
buena	buena
ermandad	hermandad
de	de
vmds	VMs
y	y
enbiamos	enviamos
a	a
nuestros	nuestros
sobrinos	sobrinos
la	la
bendision	bendición
de	de
dios	Dios
;	--
y	y
la	la
nuestra	nuestra
,	;
y	y
mis	mis
yjos	hijos
;	--
piden	piden
la	la
de	de
v	vuestras
mds	mercedes

Para	Para
hacer	hacer
este	este
testimonio	testimonio
como	como
pido	pido
	,
Vm	VM
puede	puede
ber	ver
los	los
Papeles	papeles
qu	que
estan	están
juntos	juntos
	,
el	el
ynventario	inventario
ante	ante
Juo	juzgado
de	de
Pero	Pero
Sanz	Sanz
y	y
la	la
Adjudicacion	adjudicación
del	del
año	año
passado	pasado
	,
que	que
todo	todo
esta	está
junto	junto

y	Y
ella	ella
esta	está
muy	muy
contenta	contenta
con	con
su	su
estado	estado
y	y
yo	yo
con	con
el	el
mio	mío
	,
porque	porque
dios	Dios
nos	nos
assiste	asiste
en	en
medio	medio
de	de
mis	mis
trabaxos	trabajos
	,
que	que
a	a
temporadas	temporadas
padezco	padezco
fuerte	fuerte
dolor	dolor
de	de
yxada	ijada

yra	Irá
bien	bien
por	por
el	el
contento	contento
de	de
vsia	VSa
	,
que	que
es	es
al	al
que	que
todos	todos
emos	hemos
de	de
Acudir	acudir
y	y
servio	servicio
a	a
quien	quien
nro	nuestro
Sr	Señor
gde	guarde
muchos	muchos
años	años
	,
como	como
sus	sus
criados	criados
emos	hemos
menester	menester

Muy	Muy
Rdo	reverendo
Señor	señor
Cura	cura

que	Que
manuel	Manuel
de	de
amesqita	Amezquita
	,
coredor	corredor
de	de
canbios	cambios
.	,
o	o
manuel	Manuel
enriques	Enríquez
	,
coredor	corredor
de	de
longa	lonja
que	que
bive	vive
en	en
la	la
calle	calle
de	de
los	los
peligros	Peligros
.	,
de	de
qualqiera	cualquiera
se	se
podera	poderá
Vmd	VM
enformar	informar
de	de
qien	quién
soy	soy
y	y
resibiran	recibirán
la	la
limosna	limosna
que	que
Vmd	VM
me	me
pudiese	pudiese
aser	hacer
	,
avisandome	avisándome
si	si
lo	lo
puede	puede
aser	hacer

dios	Dios
te	te
lo	lo
pague	pague
y	y
te	te
assista	asista
como	como
se	se
lo	lo
suppco	suplico
	,
que	que
oy	hoy
e	he
cho	hecho
dezir	decir
una	una
misa	misa
delante	delante
de	de
la	la
me	Madre
de	de
dios	Dios
del	del
camino	Camino
	,
pa	para
que	que
te	te
de	dé
en	en
tus	tus
cossas	cosas
buen	buen
subçesso	suceso
y	y
me	me
tengas	tengas
en	en
tu	tu
mema	memoria
pa	para
hazer	hacer
lo	lo
mesmo	mismo

q	Que
Bien	bien
sabe	sabe
la	la
birgen	Virgen
santissima	Santísima
del	del
Buen	buen
fin	fin

en	En
la	la
pasada	pasada
	,
daba	daba
,	,
digo	digo
	,
suplicaba	suplicaba
a	a
vmd	VM
me	me
hiciese	hiciese
fabor	favor
de	de
dar	dar
a	a
D	don
Domingo	Domingo
cinco	cinco
ducados	ducados
,	--
y	y
estaran	estarán
bien	bien
dados	dados
a	a
cuenta	cuenta
de	de
las	las
missas	misas
,	,
y	Y
aviseme	avíseme
si	si
tiene	tiene
algo	algo
mas	más
recibido	recibido
,	,
que	que
de	de
todo	todo
quiero	quiero
dar	dar
satisfn	satisfacción
con	con
mucho	mucho
gusto	gusto
	,
porq	porque
no	no
ignoro	ignoro
quanto	cuánto
debo	debo
a	a
todos	todos
los	los
amigos	amigos
,	,
demele	Démele
vmd	VM
my	mi
mem	memoria
y	y
ocho	ocho
abrazos	abrazos
,	,
q	que
a	a
josepiña	Josefina
,	,
que	que
me	me
alegrare	alegraré
mucho	mucho
tengan	tengan
entera	entera
salud	salud

Tambien	También
Abra	habrá
recado	recado
pa	para
el	el
otro	otro
Amigo	amigo
de	de
ese	ese
lugar	lugar
	,
que	que
me	me
an	han
dicho	dicho
que	que
cura	cura
por	por
ensalmo	ensalmo

hasta	Hasta
agora	ahora
vendi	vendí
solo	sólo
20	20
sacas	sacas
de	de
las	las
80	80
que	que
tengo	tengo
por	por
cuenta	cuenta
de	de
vm	VM

no	No
tengo	tengo
mas	más
qe	que
advertir	advertir
en	en
este	este
punto	punto

billafrea	Villafrea
	,
i	y
septe	septiembre
26	26
de	de
1693	1693

mi	Mi
abogada	abogada
	,
si	si
la	la
e	he
ofendido	ofendido
en	en
mi	mi
bida	vida
	,
pues	pues
bolbio	volvió
p	por
su	su
caussa	causa
librandome	librándome
de	de
tal	tal
trabaxo	trabajo
con	con
un	un
milagro	milagro
tan	tan
grande	grande
como	como
el	el
q	que
usso	usó
conmigo	conmigo
en	en
ponerme	ponerme
en	en
parte	parte
donde	donde
pueda	pueda
ir	ir
a	a
ssu	su
misma	misma
cassa	casa
a	a
darle	darle
graçias	gracias
haçiendo	haciendo
una	una
rromeria	romería
	,
como	como
la	la
are	haré

Vmd	VM
se	se
sirba	sirva
de	de
soliçitarlo	solicitarlo
y	y
pedirle	pedirle
apriete	apriete
la	la
dificultad	dificultad
lo	lo
posible	posible

ya	Ya
tengo	tengo
avisado	avisado
tengo	tengo
mandado	mandado
a	a
Toledo	Toledo
4U200	4200
e	y
tantos	tantos
Rs	reales
y	y
mandare	mandaré
dentro	dentro
de	de
6	6
u	u
8	8
dias	días
2U000	2000
Rs	reales
y	y
letra	letra
d	de
ellos	ellos

y	Y
este	éste
una	una
ocassion	ocasión
escribio	escribió
noticias	noticias
de	de
Vra	vuestra
salud	salud
	,
pero	pero
no	no
otra	otra
cossa	cosa

dire	Diré
por	por
mayor	mayor
algo	algo
de	de
lo	lo
que	que
alcanzo	alcanzo
	,
pero	pero
me	me
remito	remito
a	a
la	la
carta	carta
del	del
señor	señor
felix	Félix
de	de
Huarte	Huarte
	,
quien	quien
mexor	mejor
dira	dirá
a	a
lo	lo
que	que
me	me
preguntas	preguntas

i	Y
depues	después
me	me
e	he
de	de
quedar	quedar
en	en
jirona	Gerona

ay	Ahí
tienen	tienen
un	un
recetor	recetor
	,
segun	según
dizen	dicen
	,
con	con
comn	comisión
del	del
amigo	amigo
Brdo	Bernardo
Garcia	García
	,
q	que
dio	dio
sentencia	sentencia
q	que
yo	yo
avia	había
de	de
pagar	pagar
las	las
costas	costas
	,
quatrocientos	cuatrocientos
Azotes	azotes
y	y
otras	otras
yerbas	yerbas
.	;
q	que
el	el
ssr	señor
Dn	don
Bame	Bartolomé
escudero	Escudero
	,
de	de
qn	quien
tengo	tengo
tanta	tanta
sastifaon	satisfacción
	,
estaba	estaba
Contra	contra
mi	mí
	,
y	y
lo	lo
mismo	mismo
el	el
ssr	señor
Dn	don
Joseph	José
Somoza	Somoza
.	;
y	y
q	que
el	el
Jues	juez
de	de
esta	esta
Causa	causa
lo	lo
era	era
El	el
dho	dicho
Garcia	García

Amsterd	Amsterdam
	,
24	24
Agosto	agosto
de	de
1671	1671
Señor	Señor
mio	mío

confio	Confío
en	en
Vmd	VM
ara	hará
lo	lo
que	que
pudiere	pudiere
como	como
quien	quien
es	es
	,
pueis	pues
por	por
esta	ésta
conosera	conocerá
la	la
gran	gran
pobresa	pobreza
y	y
nececidad	necesidad
que	que
estoy	estoy
padesiendo	padeciendo
sin	sin
tener	tener
un	un
pariente	pariente
que	que
me	me
pueda	pueda
asestir	asistir
a	a
tan	tan
grandes	grandes
trabajos	trabajos

Potes	Potes
	,
fe	febrero
28	28
de	de
1689	1689

en	En
todos	todos
jeneralmente	generalmente
me	me
rrecomiendo	recomiendo
	,
i	y
que	que
estimo	estimo
el	el
cuidado	cuidado
que	que
tubo	tuvo
en	en
el	el
despacho	despacho
de	de
las	las
escripturas	escrituras

Tanbien	También
pongo	pongo
precepto	precepto
en	en
entranbas	entrambas
comunidades	comunidades
de	de
Religiosos	religiosos
,	--
y	y
religiosas	religiosas
para	para
que	que
dejen	dejen
en	en
silençio	silencio
todo	todo
lo	lo
sucedido	sucedido
asta	hasta
aora	ahora
con	con
Ud	usted
en	en
orden	orden
a	a
lo	lo
sobredicho	sobredicho
;	,
a	a
que	que
Ud	usted
se	se
deve	debe
ajustar	ajustar
no	no
hablando	hablando
en	en
lo	lo
pasado	pasado
por	por
escusar	excusar
inquietudes	inquietudes

y	Y
que	que
	,
de	de
mas	más
d	de
esto	esto
	,
el	el
bender	vender
el	el
monte	monte
es	es
contra	contra
las	las
leyes	leyes
y	y
premagticas	pragmáticas
	,
que	que
mandan	mandan
que	que
no	no
se	se
pueda	pueda
vender	vender
si	si
no	no
es	es
que	que
sea	sea
para	para
cossas	cosas
de	de
mucho	mucho
Beneficio	beneficio
a	a
la	la
villa	villa
y	y
vecinos	vecinos
d	de
ella	ella

y	Y
en	en
esta	esta
conformidad	conformidad
puede	puede
estar	estar
cierta	cierta
sera	será
oida	oída
en	en
justicia	justicia
y	y
se	se
mirara	mirará
con	con
toda	toda
piedad	piedad
su	su
causa	causa
qdo	cuando
llegare	llegare
el	el
caso	caso
	,
q	que
hasta	hasta
oi	hoy
no	no
se	se
ha	ha
tocado	tocado
nada	nada

pobre	Pobre
de	de
mi	mí
que	que
no	no
la	la
tengo	tengo
	,
sino	sino
de	de
una	una
prision	prisión
adonde	adonde
estoi	estoy
a	ha
10	10
mezes	meses
y	y
no	no
se	sé
cuando	cuándo
tendre	tendré
tanta	tanta
ventura	ventura
que	que
goze	goce
de	de
la	la
libartad	libertad

y	Y
si	si
gusta	gusta
	,
ynbie	envíe
algua	alguna
prima	prima
	,
Varas	varas
de	de
seda	seda
o	o
tella	tela
	,
para	para
que	que
vsia	VSa
de	de
ay	ahí
o	o
aga	haga
bestidos	vestidos
para	para
qdo	cuando
	,
en	en
buen	buen
ora	hora
	,
venga	venga
	,
o	o
se	se
sirva	sirva
de	de
ynbiarme	enviarme
la	la
medida	medida
y	y
los	los
hare	haré
haçer	hacer
con	con
brevedad	brevedad

pesariame	Pesaríame
que	que
en	en
tal	tal
herbolario	herbolario
no	no
hallaramos	halláramos
simple	simple
para	para
esta	esta
composiçion	composición
que	que
se	se
pretende	pretende
	,
mas	mas
pues	pues
ya	ya
el	él
le	le
dijo	dijo
a	a
vmd	VM
tenia	tenía
por	por
vida	vida
de	de
mi	mi
sa	señora
doña	doña
veatriz	Beatriz
que	que
lo	lo
dilijençie	diligencia
como	como
merecen	merecen
mis	mis
deseos	deseos
de	de
servirle	servirle

Pampa	Pamplona
	,
y	y
marzo	marzo
5	5
de	de
1694	1694

remitome	Remítome
a	a
su	su
depa	depa
y	y
creo	creo
moriremos	moriremos
en	en
ellos	ellos
sin	sin
otra	otra
dispusicion	disposición
.	,
Porque	porque
todo	todo
es	es
dar	dar
en	en
las	las
adargas	adargas
y	y
a	a
mi	mí
para	para
pasar	pasar
la	la
vida	vida
Vinana	vinana
no	no
me	me
falta	falta
mas	más
que	que
quietud	quietud

el	El
señor	señor
felix	Félix
de	de
Huarte	Huarte
me	me
dio	dio
tu	tu
carta	carta
	,
abiendome	habiéndome
llamado	llamado
a	a
su	su
cassa	casa
la	la
misma	misma
tarde	tarde
que	que
la	la
recebio	recibió
	,
y	y
te	te
asseguro	aseguro
que	que
toda	toda
la	la
noche	noche
no	no
pude	pude
dormir	dormir
de	de
gozossa	gozosa
	,
no	no
acabando	acabando
de	de
crer	creer
la	la
certidume	certidumbre
de	de
aber	haber
tenido	tenido
notiçias	noticias
de	de
buestra	vuestra
salud	salud
	,
que	que
pido	pido
a	a
dios	Dios
la	la
logreis	logréis
ambos	ambos
por	por
dilatados	dilatados
años	años

y	Y
dado	dado
que	que
sea	sea
eficaz	eficaz
la	la
mediçina	medicina
	,
a	ha
de	de
quedar	quedar
el	el
satisfaçer	satisfacer
al	al
medicante	medicante
a	a
disposiçion	disposición
de	de
vmd	VM

a	A
13	13
d	de
este	éste
fue	fue
mi	mi
ultima	última
a	a
vm	VM
	,
por	por
la	la
qual	cual
le	le
dezia	decía
que	que
si	si
quedasse	quedase
el	el
viento	viento
contrario	contrario
embiaria	enviaría
algo	algo
a	a
vm	VM

y	Y
deseara	deseara
siempre	siempre
mil	mil
ocasnes	ocasiones
en	en
q	que
poder	poder
servir	servir
a	a
V	vuestra
R	reverenda
y	y
le	le
supo	suplico
me	me
tenga	tenga
en	en
la	la
memoria	memoria
pa	para
encomendarme	encomendarme
mui	muy
de	de
veras	veras
a	a
nro	Nuestro
sor	Señor

las	Las
maiores	mayores
bibiendas	viviendas
debago	debajo
de	de
tiera	tierra
	:
esos	esos
no	no
salio	salió
ninguno	ninguno
	,
q	que
todos	todos
estan	están
debago	debajo
	;
ban	van
sacando	sacando
aora	ahora
quatro	cuatro
	,
aora	ahora
ses	seis
	,
ahogados	ahogados
del	del
humo	humo

que	Que
prometo	prometo
nunca	nunca
me	me
tengo	tengo
visto	visto
mas	más
enfadado	enfadado
que	que
al	al
pressente	presente

Yo	Yo
me	me
parto	parto
mañana	mañana
pa	para
mi	mi
Provincia	provincia
,	:
a	a
Medina	Medina
del	del
Campo	Campo

y	Y
pues	pues
lo	lo
yzo	hizo
devia	debía
convenirle	convenirle
y	y
deve	debe
conformarse	conformarse
con	con
lo	lo
que	que
dios	Dios
ordena	ordena

B	Besa
l	la
mo	mano
de	de
Vm	VM
s	siempre
dho	dicho
mismo	mismo
	,
Franco	Francisco
de	de
Cossio	Cossio
y	y
otero	Otero
la	La
S	señora
Escolastica	Escolástica
de	de
zespedes	Céspedes
	,
mui	muy
Sra	señora
mia	mía

Y	Y
assi	así
Suppco	suplico
a	a
Vm	VM
	,
Sr	señor
Miguel	Miguel
Benito	Benito
	,
me	me
haga	haga
merced	merced
de	de
ynviar	enviar
un	un
testimonio	testimonio
en	en
la	la
conformidad	conformidad
que	que
arriva	arriba
digo	digo
que	que
sea	sea
muy	muy
Amplio	amplio
	,
como	como
de	de
mano	mano
de	de
Vm	VM
	,
que	que
esto	esto
que	que
pido	pido
bien	bien
save	sabe
Vm	VM
que	que
es	es
berdad	verdad
	:
que	que
mis	mis
bienes	bienes
son	son
libres	libres
sin	sin
obligacion	obligación
ninga	ninguna
y	y
qu	que
estan	están
todos	todos
en	en
ser	ser

lo	Lo
que	que
tengo	tengo
cobrado	cobrado
	,
que	que
es	es
poco	poco
	,
ha	ha
sido	sido
para	para
pagar	pagar
algunas	algunas
tranpas	trampas
que	que
devia	debía
y	y
unas	unas
64	64
lb	libras
que	que
avia	había
conprado	comprado
de	de
tavaco	tabaco
avia	había
mes	mes
y	y
mo	medio

esso	Eso
no	no
se	se
dira	dirá
por	por
mi	mí
	,
que	que
siempre	siempre
que	que
ayga	haya
Portadores	portadores
empleare	emplearé
la	la
dha	dicha
de	de
escrevirte	escribirte

veere	Veré
lo	lo
que	que
sera	será
y	y
	,
acaso	acaso
que	que
sea	sea
buena	buena
y	y
aya	haya
tiempo	tiempo
para	para
embialla	enviarla
	,
la	la
despachare	despacharé
luego	luego
para	para
el	el
Tessel	Tessel

la	La
Caja	caja
	,
no	no
ay	hay
Noticias	noticias
de	de
tal	tal
.	--
Si	si
no	no
es	es
q	que
el	el
otro	otro
de	de
la	la
Recidencia	residencia
la	la
llevase	llevase

y	Y
ansi	así
le	le
suppco	suplico
por	por
Dios	Dios
ntro	Nuestro
Señor	Señor
y	y
su	su
bendita	bendita
madre	madre
me	me
faborezca	favorezca
con	con
lo	lo
que	que
fuere	fuere
servido	servido
	,
por	por
quedo	quedo
pereziendo	pereciendo
y	y
con	con
tanta	tanta
!	--
desdichas	desdichas
como	como
me	me
siguen	siguen

Murieron	Murieron
nros	nuestros
tios	tíos
y	y
	,
a	a
ynstancias	instancias
del	del
dichosso	dichoso
de	de
Juan	Juan
de	de
Huarte	Huarte
y	y
su	su
hixo	hijo
	,
sacaron	sacaron
algo	algo
para	para
nossotros	nosotros

el	El
achaque	achaque
que	que
me	me
dizes	dices
padezes	padeces
lo	lo
tenemos	tenemos
eredado	heredado
y	y
con	con
el	él
abremos	habremos
de	de
morir	morir

suplico	Suplico
como	como
amigo	amigo
me	me
aga	haga
merse	merced
de	de
Remetirmelo	remitírmelo
quanto	cuanto
antes	antes
	,
que	que
ase	hace
falta	falta
	,
porque	porque
quisiera	quisiera
aser	hacer
una	una
poca	poca
de	de
obra	obra
en	en
casa	casa

nuestro	Nuestro
Sr	Señor
de	dé
a	a
vmd	VM
salud	salud
para	para
pueda	pueda
llevar	llevar
tantos	tantos
trabajos	trabajos

estube	Estuve
con	con
su	su
muger	mujer
i	y
con	con
su	su
suegra	suegra
	,
i	y
por	por
benir	venir
De	de
paso	paso
i	y
