Effter	Efter
i	i
Onsala	Onsala
huru	hur
såsom	såsom
Per	Per
Broddesson	Broddesson
i	i
Öhn	Öhn
hafwer	har
sigh	sig
såldt	sålt
een	en
odugeligh	oduglig
qwarn	kvarn
hwilken	vilken
sedhan	sedan
såldh	såld
ähr	är
til	till
en	en
man	man
i	i
Medelpad	Medelpad
,	,
then	den
sigh	sig
och	och
beklagadhe	beklagade
öfwer	över
samma	samma
qwarn	kvarn
.	.
	
Afladhe	Avlade
tolfmännerne	tolvmännen
sin	sin
edh	ed
,	,
uthi	uti
all	all
tingh	ting
effter	efter
ytersta	yttersta
förståndh	förstånd
,	,
sigh	sig
så	så
handhaf:a	handha
,	,
som	som
thee	de
för	för
Gudh	Gud
och	och
höga	höga
öf:rheten	överheten
kune	kunna
answara	ansvara
;	;
	
(	(
10	10
)	)
Framkom	Framkom
Cisila	Cisila
Olofsdotter	Olofsdotter
och	och
tilkiänna	tillkänna
gaf	gav
,	,
huruledhz	huruledes
en	en
lapp	lapp
Skol	Skol
Nils	Nils
hafwer	har
berättat	berättat
och	och
i	i
tal	tal
låtit	låtit
komma	komma
,	,
dhet	det
Ingrid	Ingrid
Jonsdotter	Jonsdotter
i	i
Gisselås	Gisselås
hafr	har
lagt	lagt
en	en
lapp	lapp
sigh	sig
att	att
förgiöra	förgöra
,	,
på	på
dhet	det
att	att
hon	hon
honnom	honom
,	,
Olof	Olof
Olofson	Olofson
i	i
Giselås	Giselås
,	,
till	till
man	man
bekomma	bekomma
skulle	skulle
,	,
såledhz	således
afhindra	avhindra
friemålet	friemålet
dhem	dem
Cisilia	Cisilia
och	och
Olof	Olof
emelan	emellan
,	,
hwilket	vilket
lappen	lappen
Nils	Nils
nu	nu
effter	efter
förfrågan	förfrågan
iempte	jämte
flere	flera
bewiser	bevis
sådant	sådant
intet	intet
wedh	vid
någon	någon
sanningh	sanning
wara	vara
,	,
uthan	utan
bewittnadhes	bevittnades
Olof	Olof
Olofsson	Olofsson
,	,
hwilken	vilken
först	först
friadhe	friade
till	till
Cisilia	Cisilia
och	och
sedan	sedan
till	till
Ingredh	Ingredh
wara	vara
till	till
sådant	sådant
rop	rop
och	och
ryckte	rykte
störste	största
orsaken	orsaken
.	.
	
Dragon	Dragon
om	om
sin	sin
målzägar	målsägar
sak	sak
ähr	är
af	av
rytt	rytt
.	.
förlickt	förlikat
.	.
	
Och	Och
sedan	sedan
effter	efter
desse	dessa
penningars	penningars
uthgiörande	utgörande
,	,
måste	måste
han	han
Olof	Olof
Thoresson	Thoresson
,	,
till	till
öfwerflödh	överflöd
uthstå	utstå
och	och
giöra	göra
skiutzfärder	skjutsfärder
till	till
Bräcke	Bräcke
.	.
	
Hwilka	Vilka
bem:te	bem:te
4	4
rd:r	rd:r
Erich	Erich
Staffansson	Staffansson
genast	genast
återgifwa	återgiva
skall	skall
,	,
alldenstund	alldenstund
han	han
effter	efter
laga	laga
stembning	stämning
till	till
Lijdt	Lijdt
A:o	A:o
1664	1664
ey	ej
comparera	komparera
welat	velat
,	,
och	och
då	då
till	till
desse	dessa
olaga	olaga
procedeurer	procedurer
ey	ej
swara	svara
welat	velat
.	.
	
(	(
23	23
)	)
Afsades	Avsades
det	det
Nils	Nils
Andersson	Andersson
i	i
Bredgård	Bredgård
skall	skall
betala	betala
Peder	Peder
Olofsson	Olofsson
i	i
Östnår	Östnår
4½	4½
rd:r	rd:r
8	8
sk:r	sk:r
uthan	utan
widare	vidare
opskoff	uppskov
.	.
	
(	(
28	28
)	)
Nils	Nils
Andersson	Andersson
i	i
Bredgård	Bredgård
pålades	pålades
at	att
swara	svara
Jakob	Jakob
Jönsson	Jönsson
ländzmannen	länsmannen
i	i
Lit	Lit
till	till
den	den
1	1
.	.
decembris	december
nästkommande	nästkommande
wid	vid
tinget	tinget
,	,
om	om
dhe	de
bäfwerhuus	bäverhus
förstörande	förstörande
han	han
honom	honom
förewiter	föreviter
.	.
	
(	(
10	10
)	)
Ryttaren	Ryttaren
Hans	Hans
Johansson	Johansson
skall	skall
effter	efter
rättens	rättens
gottfinnande	gottfinnande
flyttia	flytta
till	till
huus	hus
hoos	hos
sine	sina
andhra	andra
böndher	bönder
dher	där
så	så
längie	länge
hoos	hos
dhem	dem
förbliwa	förbli
,	,
som	som
han	han
hoos	hos
Sven	Sven
Stensson	Stensson
i	i
Ede	Ede
,	,
uthi	uti
Andersgården	Andersgården
tillhållit	tillhållit
hafwer	har
,	,
hwilket	vilket
han	han
gienast	genast
effterkomma	efterkomma
skall	skall
.	.
	
(	(
13	13
)	)
Per	Per
Stensson	Stensson
i	i
Skarpås	Skarpås
opbiudher	uppbjuder
någon	någon
jordh	jord
ibid	ibid
förste	förste
gån	gång
kiöpt	köpt
aff	av
Olof	Olof
Larsson	Larsson
i	i
Skottgården	Skottgården
och	och
Per	Per
Persson	Persson
i	i
Andersgården	Andersgården
för	för
8	8
rd:r	rd:r
1½	1½
ortt	ort
.	.
	
(	(
16	16
)	)
Lapplendzman	Lapplandsman
i	i
Hammerdahls	Hammerdahls
lappmarck	lappmark
,	,
Lars	Lars
Larsson	Larsson
tillika	tillika
medh	med
Jöns	Jöns
Andersson	Andersson
,	,
Nils	Nils
Andersson	Andersson
,	,
och	och
Anders	Anders
Clemetsson	Clemetsson
som	som
hafwer	har
förledin	förliden
söndagh	söndag
fylt	fyllt
sig	sig
fulla	fulla
med	med
brenwin	brännvin
och	och
Lars	Lars
som	som
hafwer	har
ropat	ropat
och	och
skrickt	skrikit
på	på
kyrkiowallen	kyrkovallen
när	när
folket	folket
gingo	gick
i	i
kyrkian	kyrkan
;	;
skall	skall
därföre	därför
arbitrateter	arbitrateter
straffaz	straffas
till	till
40	40
mk:r	mk:r
sm:tt	sm:tt
men	men
dhe	de
andhra	andra
,	,
Jönss	Jönss
,	,
Nills	Nills
och	och
Anderss	Anderss
förskontes	förskonades
med	med
40	40
mk:r	mk:r
sm:tt	sm:tt
till	till
hopa	hopa
,	,
oppå	uppå
Kongl:	Kungl:
May:t	May:t
nådighe	nådiga
behagh	behag
desse	dessa
botter	böter
skola	skola
uthmäthas	utmätas
och	och
lefwererass	levereras
till	till
kyrkian	kyrkan
i	i
Hammerdahl	Hammerdahl
och	och
dhe	de
fattigha	fattiga
.	.
	
(	(
25	25
)	)
Måns	Måns
Andersson	Andersson
Spielle	Spielle
in	in
för	för
dhen	den
sittiandhe	sittande
rätten	rätten
skiälte	skällde
tolffmannen	tolvmannen
Anders	Anders
Jonsson	Jonsson
i	i
Ede	Ede
för	för
mädhängiare	medhängare
,	,
hade	hade
fuller	fuller
rätten	rätten
gått	gått
fogh	fog
at	att
skiärpa	skärpa
,	,
men	men
för	för
hanss	hans
fattigdomb	fattigdom
förskontes	förskonades
han	han
på	på
Kongl:	Kungl:
May:tz	May:tz
nådighe	nådige
behagh	behag
medh	med
3	3
mk:r	mk:r
sm:tt	sm:tt
effter	efter
43	43
cap.	kap.
tingmåhla	tingmåla
b:n	b:n
LL	LL
.	.
	
(	(
26	26
)	)
Effter	Efter
rätten	rätten
gottfinniandhe	gottfinnande
afsadhess	avsades
,	,
at	att
emädan	emedan
som	som
Jon	Jon
Eriksson	Eriksson
i	i
Fyrås	Fyrås
,	,
eyckie	icke
hafwer	har
någott	något
förord	förord
giort	gjort
ner	när
han	han
såldhe	sålde
sitt	sitt
hemman	hemman
,	,
at	att
hans	hans
syster	syster
,	,
Karin	Karin
Eriksdotters	Eriksdotters
jordepart	jordepart
för	för
3	3
Rd:r	Rd:r
16	16
sk:r	sk:r
skulle	skulle
ey	ej
inräcknas	inräknas
i	i
den	den
40	40
rd:rs	rd:rs
summa	summa
,	,
han	han
för	för
gården	gården
bekom	bekom
,	,
uthan	utan
nu	nu
be:te	be:te
3	3
rd:r	rd:r
16	16
s:r	s:r
fordrar	fordrar
af	av
Anders	Anders
Sjulsson	Sjulsson
i	i
Fyrås	Fyrås
;	;
ahrkiändhe	erkände
rätten	rätten
af	av
intett	intet
werdhe	värde
,	,
helst	helst
emädhan	emedan
Anders	Anders
af	av
Joen	Joen
hela	hela
gården	gården
kiöpte	köpte
,	,
och	och
detta	detta
klandher	klander
då	då
ey	ej
omtalte	omtalade
,	,
för	för
än	än
nu	nu
,	,
uthan	utan
Anderz	Anderz
Siulsson	Siulsson
derför	därför
befrias	befrias
.	.
	
Hans	Hans
Eriksson	Eriksson
i	i
Grenås	Grenås
angaf	angav
i	i
rätten	rätten
,	,
hafue	ha
förledin	förliden
3die	3die
dagh	dag
juul	jul
bydt	bytt
en	en
häst	häst
medh	med
Sjul	Sjul
Persson	Persson
i	i
Hallen	Hallen
,	,
uthi	uti
godhe	goda
mänss	mäns
närwaru	närvaro
,	,
som	som
tillijka	tillika
medh	med
honom	honom
uthi	uti
Granåhs	Granåhs
heembudne	hembjudna
woro	var
,	,
n:n	n:n
Jon	Jon
Eriksson	Eriksson
och	och
Per	Per
Olofsson	Olofsson
i	i
Görvik	Görvik
och	och
Nils	Nils
Olofson	Olofson
i	i
Gåxsjö	Gåxsjö
,	,
hwilke	vilka
effter	efter
aflagdh	avlagd
eedh	ed
,	,
hand	hand
å	å
book	bok
,	,
betyga	betyga
,	,
att	att
Siul	Siul
uthi	uti
deras	deras
närwaro	närvaro
bytte	bytte
medh	med
Hanss	Hanss
Erichson	Erichson
häst	häst
,	,
och	och
tillbödh	tillbjöd
honom	honom
emillan	emellan
3	3
Rd:r	Rd:r
.	.
	
Men	Men
för	för
Aarååss	Aarååss
ödeböle	ödeböle
gifwes	gives
aff	av
kyrkieherden	kyrkoherden
allena	allena
18	18
öre	öre
s:m:tt	s:m:tt
må	må
deth	det
widh	vid
anfordran	anfordran
åhrligen	årligen
ehrläggiandes	erläggandes
,	,
belöper	belöper
Summan	Summan
aff	av
begge	bägge
ödebölerne	ödebölerne
Aaråss	Aaråss
och	och
Annåhs	Annåhs
1	1
d:r	d:r
12	12
th:r	th:r
sef:r	sef:r
m:tt	m:tt
.	.
	
Imedlertijdh	Emellertid
uthgifwess	utgives
ey	ej
dher	där
på	på
faste	faste
breff	brev
.	.
	
Emedan	Emedan
som	som
ey	ej
nekass	nekas
,	,
det	det
Hemmingh	Hemmingh
i	i
Görvik	Görvik
har	har
i	i
lijfztijden	livstiden
låfwat	lovat
Märit	Märit
Stensdotter	Stensdotter
ächtenskap	äktenskap
,	,
och	och
sijdermehra	sedermera
utj	uti
sitt	sitt
yttersta	yttersta
testamenterat	testamenterat
henne	henne
trjdie	tredje
parten	parten
af	av
löös	lös
öhrerne	örena
som	som
ähr	är
af	av
hanss	hans
aflingegodz	avlingegods
;	;
dy	ty
finner	finner
rätten	rätten
det	det
skiälligt	skäligt
,	,
at	att
be:te	be:te
testamente	testamente
må	må
ju	ju
hållit	hållet
blifwa	bli
,	,
derföre	därför
måge	må
arfwingarna	arvingarna
henne	henne
owägerligen	ovägerligen
tillställa	tillställa
uthan	utan
widare	vidare
beswär	besvär
bem:te	bem:te
tridie	tredje
part	part
af	av
lössöhrerne	lösörena
.	.
	
När	När
det	det
skedt	skett
ähr	är
,	,
will	vill
rätten	rätten
lagligen	lagligen
i	i
detta	detta
ährendet	ärendet
sluta	sluta
,	,
om	om
Oluf	Oluf
Larsson	Larsson
hafwer	har
macht	makt
till	till
een	en
oskylld	oskylld
försällia	försälja
gården	gården
före	före
han	han
sielf	själv
den	den
lagbudit	lagbjudit
och	och
fastebreff	fastebrev
dher	där
å	å
bekommit	bekommit
hafwer	har
.	.
	
Sochnskrifwaren	Sockenskrivaren
Olof	Olof
Mårtensson	Mårtensson
högeligen	högeligen
sigh	sig
beswärade	besvärade
öfwer	över
Ströms	Ströms
tolfmän	tolvmän
,	,
Anders	Anders
Jönsson	Jönsson
i	i
Strand	Strand
,	,
Per	Per
Broddesson	Broddesson
i	i
Öhn	Öhn
,	,
Olof	Olof
Jonsson	Jonsson
i	i
Tullingsås	Tullingsås
och	och
Per	Per
Danielsson	Danielsson
i	i
Grelsgård	Grelsgård
som	som
effter	efter
många	många
påminnelser	påminnelser
icke	icke
hafwa	har
uthfordrat	utfordrat
och	och
uthpantat	utpantat
1672	1672
åhrs	års
lagmans	lagmans
,	,
häradzhöfdings	häradshövdings
och	och
tingsgiästnings	tingsgästnings
penningarna	penningarna
af	av
rågh	råg
finnarna	finnarna
,	,
uthan	utan
måst	måste
för	för
dhem	dem
uthläggia	utlägga
och	och
betahla	betala
och	och
intet	intet
adsistence	assistans
af	av
dhem	dem
niutit	njutit
.	.
	
Regementskrifwaren	Regementskrivaren
Johan	Johan
Johansson	Johansson
sigh	sig
beswärade	besvärade
det	det
han	han
effter	efter
H:r	H:r
öfwerst	överst
leutnamptens	löjtnantens
höghwälborne	högvälborne
Lars	Lars
Axel	Axel
Mörners	Mörners
order	order
och	och
befallningh	befallning
öfwerskickade	överskickade
A:o	A:o
1671	1671
ifrån	ifrån
Häggenås	Häggenås
med	med
Per	Per
Hansson	Hansson
i	i
Lorås	Lorås
siu	sju
Rd:r	Rd:r
i	i
plåtar	plåtar
at	att
igen	igen
lösa	lösa
några	några
ducater	dukater
som	som
stodo	stod
i	i
Looråås	Looråås
,	,
hoos	hos
Sven	Sven
Persson	Persson
i	i
underpant	underpant
.	.
	
Giör	Gör
thet	det
någon	någon
/	/
och	och
uppå	uppå
föregången	föregången
alfwarlig	allvarlig
Förmaning	Förmaning
/	/
sig	sig
icke	icke
rättar	rättar
/	/
ware	vara
/	/
efter	efter
laga	laga
Ransakning	Rannsakning
och	och
Dom	Dom
/	/
räknad	räknad
för	för
en	en
Affälling	Avfälling
/	/
miste	miste
sitt	sitt
Embete	Ämbete
/	/
och	och
förwijses	förvisas
Rijket	Riket
.	.
	
Then	Den
som	som
och	och
alldeles	alldeles
giör	gör
affall	avfall
ifrån	ifrån
wår	vår
rätta	rätta
Religion	Religion
,	,
straffes	straffas
lijka	lika
så	så
/	/
och	och
niute	njuter
aldrig	aldrig
något	något
Arf	Arv
/	/
Rätt	Rätt
eller	eller
Rättigheet	Rättighet
innom	inom
Sweriges	Sveriges
Gräntzor	Gränser
.	.
	
Ingen	Ingen
som	som
af	av
fremmande	främmande
Religion	Religion
är	är
/	/
skal	skall
understå	understå
sig	sig
/	/
någon	någon
som	som
bekänner	bekänner
sig	sig
til	till
Wår	Vår
Lära	Lära
/	/
thet	det
ware	vare
sig	sig
Tienstefolck	Tjänstefolk
eller	eller
andra	andra
/	/
at	att
tubba	tubba
/	/
draga	draga
eller	eller
truga	truga
til	till
sin	sin
Gudztienst	Gudstjänst
;	;
Utan	Utan
tilhålla	tillhålla
sitt	sitt
Tienstefolck	Tjänstefolk
/	/
som	som
är	är
af	av
Wår	Vår
Religion	Religion
,	,
at	att
flijtigt	flitigt
gå	gå
i	i
Wåra	Våra
Kyrckior	Kyrkor
.	.
	
Åhörarena	Åhörarna
skola	skola
och	och
sin	sin
Gudztienst	Gudstjänst
troligen	troligen
och	och
med	med
Andächtigheet	Andäktighet
förrätta	förrätta
/	/
samt	samt
uti	uti
Böner	Böner
/	/
Lofsånger	Lovsånger
/	/
Gudz	Guds
Ordz	Ords
hörande	hörande
och	och
Sacramenternas	Sakramenternas
bruk	bruk
/	/
wijsa	visa
ödmiukheet	ödmjukhet
och	och
bootfärdigheet	botfärdighet
/	/
icke	icke
allenast	allenast
med	med
Hierta	Hjärta
och	och
Mun	Mun
/	/
utan	utan
och	och
med	med
sielfwe	själva
åthäfworne	åthävorna
/	/
til	till
then	den
store	store
Gudens	Gudens
Tienst	Tjänst
och	och
dyrckan	dyrkan
.	.
	
Thet	Det
som	som
utur	utur
Kyrckiones	Kyrkans
Lärare	Lärare
/	/
til	till
Förklaring	Förklaring
andrages	andrages
/	/
bör	bör
skee	ske
med	med
beskedeligheet	beskedlighet
och	och
sparsamheet	sparsamhet
/	/
och	och
alldeles	alldeles
komma	komma
öfwerens	överens
med	med
Gudz	Guds
Ord	Ord
och	och
then	den
rätta	rätta
Christeliga	Kristliga
läran	läran
.	.
	
När	När
the	de
röra	röra
någre	några
höge	höga
och	och
diupsinnige	djupsinniga
Lärestycken	Lärostycken
/	/
och	och
Kätterske	Kätterska
willfarelser	villfarelser
/	/
måste	måste
sådant	sådant
skee	ske
grundeligen	grundligen
och	och
korteligen	korteligen
/	/
med	med
godt	gott
Förstånd	Förstånd
/	/
Sachtmodigheet	Saktmodighet
och	och
Försichtigheet	Försiktighet
;	;
Och	Och
när	när
en	en
eller	eller
annan	annan
Text	Text
gifwer	ger
them	dem
anledning	anledning
/	/
til	till
at	att
tala	tala
något	något
om	om
werldzlige	världsliga
Saker	Saker
och	och
Beställningar	Beställningar
/	/
så	så
måste	måste
alt	allt
sådant	sådant
skee	ske
med	med
Beskedeligheet	Beskedlighet
och	och
Wahrsamheet	Varsamhet
/	/
utan	utan
Obetäncksamheet	Obetänksamhet
och	och
Förmätenheet	Förmätenhet
uti	uti
Tahl	Tal
eller	eller
omdöme	omdöme
om	om
the	de
Saker	Saker
/	/
som	som
en	en
deel	del
intet	intet
förstå	förstå
/	/
och	och
som	som
LäreEmbetet	LäroÄmbetet
egenteligen	egentligen
intet	intet
angå	angå
;	;
skolandes	skolandes
the	de
som	som
sig	sig
härutinnan	härutinnan
förgrijpa	förgripa
/	/
och	och
med	med
någon	någon
otijdigheet	otidighet
och	och
otienligheet	otjänlighet
på	på
Predikstolen	Predikstolen
framkomma	framkomma
/	/
första	första
gången	gången
med	med
näpst	näpst
och	och
hårdt	hårt
Tiltahl	Tilltal
ansees	anses
/	/
och	och
om	om
the	de
oftare	oftare
ther	där
med	med
beträdas	beträdas
/	/
alldeles	alldeles
sättias	sättas
ifrån	ifrån
sitt	sitt
Embete	Ämbete
/	/
thet	det
the	de
således	således
Mißbrukat	Missbrukat
och	och
wahnwördat	vanvördat
hafwa	har
.	.
	
På	På
Apostledagarna	Aposteldagarna
/	/
hålles	hålles
Predikan	Predikan
i	i
Stockholm	Stockholm
och	och
andre	andra
store	stora
Städer	Städer
/	/
som	som
här	här
til	till
warit	varit
wahnligit	vanligt
;	;
Men	Men
the	de
mindre	mindre
/	/
och	och
på	på
Landet	Landet
/	/
hålles	hålles
allenast	allenast
en	en
Predikan	Predikan
/	/
hwilken	vilken
begynnes	begynnes
Klockan	Klockan
Otta	Åtta
.	.
	
Therefter	Därefter
siunges	sjungs
en	en
Vers	Vers
,	,
om	om
then	den
Helige	Helige
Andes	Andes
bijstånd	bistånd
;	;
Och	Och
sielfwa	själva
Predikan	Predikan
begynnes	begynnes
med	med
Morgonbönen	Morgonbönen
och	och
Fader	Fader
wår	vår
/	/
utan	utan
något	något
widlyftigt	vidlyftigt
Förtal	Förtal
.	.
	
Uti	Uti
Landzkyrckiorne	Landskyrkorna
/	/
begynnes	begynnes
Ottesången	Ottesången
/	/
om	om
Juhl	Jul
Påsk	Påsk
och	och
Pingesdagen	Pingstdagen
/	/
så	så
bittijda	bittida
/	/
at	att
then	den
kan	kan
wara	vara
ändad	ändad
wid	vid
paß	pass
Klockan	Klockan
Otta	Åtta
om	om
Morgonen	Morgonen
/	/
och	och
Högpredikan	Högpredikan
Middagztijden	Middagstiden
.	.
	
Om	Om
någon	någon
i	i
oträngde	oträngda
måhle	mål
och	och
förfallelöös	förfallolös
/	/
sådant	sådant
sielf	själv
försummar	försummar
/	/
eller	eller
andra	andra
ther	där
ifrån	ifrån
hindrar	hindrar
/	/
och	och
icke	icke
med	med
Christeligit	Kristligt
alfwar	allvar
/	/
skyndar	skyndar
til	till
thetta	detta
förhör	förhör
;	;
Tå	Då
skola	skola
Föräldrar	Föräldrar
och	och
Hußbönder	Husbönder
/	/
utgifwa	utgiva
förste	första
gången	gången
hwarthera	vardera
fyra	fyra
öre	öre
Sölfwermynt	Silvermynt
för	för
sig	sig
/	/
och	och
för	för
hwart	vart
Barn	Barn
och	och
Legehion	Legion
twå	två
öre	öre
Sölfwermynt	Silvermynt
/	/
them	dem
Sexmännerne	Sexmännen
/	/
hwar	var
uti	uti
sin	sin
Rote	Rote
utfordra	utfordra
och	och
til	till
Kyrckians	Kyrkans
behof	behov
uptaga	upptaga
skola	skola
.	.
	
Presterna	Prästerna
skola	skola
hålla	hålla
wiße	wissa
längder	längder
på	på
alle	alla
sine	sina
åhörare	åhörare
/	/
Huus	Hus
ifrån	ifrån
Huus	Hus
/	/
Gård	Gård
ifrån	ifrån
Gård	Gård
/	/
och	och
weta	veta
besked	besked
/	/
om	om
theras	deras
framsteg	framsteg
och	och
kunnskap	kunskap
uti	uti
theras	deras
Christendoms	Kristendoms
stycken	stycken
;	;
drifwa	driva
med	med
flijt	flit
ther	där
på	på
at	att
Barn	Barn
/	/
Drängar	Drängar
och	och
Pijgor	Pijgor
/	/
lära	lära
läsa	läsa
i	i
Book	Bok
/	/
och	och
see	se
med	med
egna	egna
ögon	ögon
/	/
hwad	vad
Gud	Gud
i	i
sitt	sitt
helige	heliga
Ord	Ord
biuder	bjuder
och	och
befaller	befaller
.	.
	
Thet	Det
heliga	heliga
Dopet	Dopet
/	/
skal	skall
altijd	alltid
wärdeligen	värdeligen
och	och
Gudeligen	Gudeligen
förrättas	förrättas
i	i
Kyrkan	Kyrkan
/	/
när	när
icke	icke
